2505,"SELECT DISTINCT p.ra, p.dec, s.z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-10-02 12:59:00,1
2019-10-02 13:02:00,1
2019-10-02 13:06:00,18
2019-10-02 13:12:00,85
2019-10-02 13:13:00,150
2019-10-02 13:14:00,238
2019-10-02 13:15:00,164
2019-10-02 13:16:00,124
2019-10-02 13:17:00,110
2019-10-02 13:18:00,232
2019-10-02 13:19:00,238
2019-10-02 13:20:00,104
2019-10-02 13:27:00,4
2019-10-02 13:29:00,97
2019-10-02 13:30:00,6
2019-10-02 13:31:00,24
2019-10-02 13:32:00,286
2019-10-02 13:33:00,265
2019-10-02 13:34:00,238
2019-10-02 13:35:00,88
2019-10-02 13:49:00,32
