27,select * from SpecObjAll where z> # and z< #
2019-06-14 15:11:00,1
2019-06-14 15:13:00,1
2019-06-14 15:17:00,1
2019-06-14 15:18:00,1
2019-06-14 15:20:00,1
2019-06-14 15:21:00,1
2019-06-14 15:22:00,1
2019-06-14 15:23:00,1
2019-06-14 15:28:00,1
2019-06-14 15:29:00,1
2019-06-14 15:30:00,1
2019-06-14 15:31:00,1
2019-06-14 15:33:00,2
2019-06-14 15:34:00,1
2019-06-14 15:35:00,2
2019-06-14 15:36:00,2
2019-06-14 15:37:00,2
2019-06-14 15:38:00,2
2019-06-14 15:39:00,1
2019-06-14 15:40:00,1
2019-06-14 15:41:00,1
2019-06-15 09:30:00,1
