22260,"SELECT g.objID, g.type, g.ra, g.dec, g.dered_u, g.dered_g, g.dered_r, g.dered_i, g.dered_z, g.modelMagErr_u, g.modelMagErr_g, g.modelMagErr_r, g.modelMagErr_i, g.modelMagErr_z, s.snMedian, s.zWarning, s.zWarning_noqso, s.z_noqso, s.zErr_noqso, s.z as zs, s.zErr as zs_Err, p.z as zp, p.zErr as zp_Err, p.photoErrorClass, dbo.fPhotoFlagsN (g.flags) as flags, g.insideMask as inmask FROM PhotoPrimary g JOIN Photoz p ON p.objID = g.objID JOIN dbo.fGetNearbyObjEq (#, #, #) n ON n.objID = g.objID LEFT JOIN SpecObj s ON s.fluxObjID = g.objID WHERE g.dered_i< # and (g.flags & dbo.fPhotoFlags (#) ) = # and (g.flags & dbo.fPhotoFlags (#) ) = # and (g.flags & dbo.fPhotoFlags (#) ) = # and (g.insideMask & #) = # and (g.insideMask & #) = # and (g.insideMask & #) = # and (g.insideMask & #) = #"
2019-04-11 12:44:00,1
2019-04-11 13:33:00,1
2019-04-11 15:12:00,21
2019-04-11 15:15:00,10
2019-04-11 15:17:00,10
2019-04-11 15:18:00,12
2019-04-11 15:19:00,7
2019-04-11 15:20:00,9
2019-04-11 15:21:00,76
2019-04-11 15:22:00,94
2019-04-11 15:23:00,72
2019-04-11 15:44:00,48
2019-04-11 15:45:00,58
2019-04-11 15:46:00,66
2019-04-11 15:47:00,34
2019-04-11 15:57:00,2
2019-04-11 16:59:00,2
2019-04-11 17:01:00,2
2019-04-11 17:06:00,86
2019-04-11 17:07:00,104
2019-04-11 17:08:00,40
2019-04-11 17:09:00,44
2019-04-11 17:10:00,62
2019-04-11 17:11:00,92
2019-04-11 17:12:00,20
2019-04-11 17:17:00,152
2019-04-11 17:18:00,148
2019-04-11 17:25:00,50
2019-04-11 17:26:00,106
2019-04-11 17:27:00,72
2019-04-11 17:35:00,152
2019-04-11 17:36:00,176
2019-04-11 17:37:00,169
2019-04-11 17:38:00,155
2019-04-11 17:39:00,131
2019-04-11 17:40:00,135
2019-04-11 17:41:00,129
2019-04-11 17:42:00,134
2019-04-11 17:43:00,144
2019-04-11 17:44:00,139
2019-04-11 17:45:00,130
2019-04-11 17:46:00,140
2019-04-11 17:47:00,122
2019-04-11 17:48:00,112
2019-04-11 17:49:00,113
2019-04-11 17:50:00,124
2019-04-11 17:51:00,126
2019-04-11 17:52:00,88
2019-04-11 17:53:00,93
2019-04-11 17:54:00,98
2019-04-11 17:55:00,96
2019-04-11 17:56:00,88
2019-04-11 17:57:00,79
2019-04-11 17:58:00,55
2019-04-11 17:59:00,39
2019-04-11 18:00:00,48
2019-04-11 18:01:00,26
2019-04-11 18:02:00,49
2019-04-11 18:03:00,42
2019-04-11 18:04:00,33
2019-04-11 18:05:00,37
2019-04-11 18:06:00,43
2019-04-11 18:07:00,31
2019-04-11 18:08:00,38
2019-04-11 18:09:00,41
2019-04-11 18:10:00,40
2019-04-11 18:11:00,26
2019-04-11 18:12:00,7
2019-04-11 18:13:00,17
2019-04-11 18:14:00,24
2019-04-11 18:15:00,20
2019-04-11 18:16:00,21
2019-04-11 18:17:00,3
2019-04-11 18:19:00,2
2019-04-11 18:20:00,15
2019-04-11 18:21:00,13
2019-04-11 18:22:00,20
2019-04-11 18:23:00,22
2019-04-11 18:24:00,12
2019-04-11 18:25:00,11
2019-04-11 18:26:00,11
2019-04-11 18:27:00,10
2019-04-11 18:28:00,10
2019-04-11 18:29:00,10
2019-04-11 18:30:00,10
2019-04-11 18:31:00,6
2019-04-11 18:33:00,1
2019-04-11 18:34:00,3
2019-04-11 18:35:00,6
2019-04-11 18:39:00,42
2019-04-11 18:40:00,31
2019-04-11 18:41:00,9
2019-04-11 18:42:00,12
2019-04-11 18:43:00,17
2019-04-11 18:44:00,7
2019-04-11 18:45:00,3
2019-04-11 18:46:00,19
2019-04-11 18:47:00,32
2019-04-11 18:48:00,28
2019-04-11 18:49:00,11
2019-04-11 18:50:00,15
2019-04-11 18:51:00,15
2019-04-11 18:52:00,7
2019-04-11 18:53:00,14
2019-04-11 18:54:00,19
2019-04-11 18:55:00,36
2019-04-11 18:56:00,24
2019-04-11 18:57:00,21
2019-04-11 18:58:00,21
2019-04-11 18:59:00,23
2019-04-11 19:00:00,15
2019-04-11 19:01:00,11
2019-04-11 19:02:00,11
2019-04-11 19:03:00,1
2019-04-11 19:05:00,3
2019-04-11 19:06:00,4
2019-04-11 19:07:00,1
2019-04-11 19:08:00,4
2019-04-11 19:09:00,10
2019-04-11 19:10:00,13
2019-04-11 19:11:00,15
2019-04-11 19:12:00,23
2019-04-11 19:13:00,22
2019-04-11 19:14:00,19
2019-04-11 19:15:00,24
2019-04-11 19:16:00,21
2019-04-11 19:17:00,23
2019-04-11 19:18:00,13
2019-04-11 19:19:00,12
2019-04-11 19:20:00,15
2019-04-11 19:21:00,13
2019-04-11 19:22:00,15
2019-04-11 19:23:00,14
2019-04-11 19:24:00,16
2019-04-11 19:25:00,13
2019-04-11 19:26:00,13
2019-04-11 19:27:00,6
2019-04-11 19:28:00,8
2019-04-11 19:29:00,10
2019-04-11 19:30:00,6
2019-04-11 19:31:00,19
2019-04-11 19:32:00,26
2019-04-11 19:33:00,8
2019-04-11 19:34:00,6
2019-04-11 19:35:00,22
2019-04-11 19:36:00,30
2019-04-11 19:37:00,39
2019-04-11 19:38:00,42
2019-04-11 19:39:00,24
2019-04-11 19:40:00,15
2019-04-11 19:41:00,12
2019-04-11 19:42:00,2
2019-04-11 19:43:00,7
2019-04-11 19:44:00,2
2019-04-11 19:45:00,12
2019-04-11 19:46:00,22
2019-04-11 19:47:00,14
2019-04-11 19:48:00,4
2019-04-11 19:49:00,8
2019-04-11 19:50:00,15
2019-04-11 19:51:00,8
2019-04-11 19:52:00,12
2019-04-11 19:53:00,13
2019-04-11 19:54:00,5
2019-04-11 19:55:00,6
2019-04-11 19:56:00,6
2019-04-11 19:57:00,3
2019-04-11 19:58:00,7
2019-04-11 19:59:00,16
2019-04-11 20:00:00,17
2019-04-11 20:01:00,5
2019-04-11 20:02:00,1
2019-04-11 20:03:00,4
2019-04-11 20:04:00,11
2019-04-11 20:05:00,21
2019-04-11 20:06:00,22
2019-04-11 20:07:00,10
2019-04-11 20:08:00,5
2019-04-11 20:09:00,11
2019-04-11 20:10:00,22
2019-04-11 20:11:00,24
2019-04-11 20:12:00,24
2019-04-11 20:13:00,29
2019-04-11 20:14:00,28
2019-04-11 20:15:00,25
2019-04-11 20:16:00,22
2019-04-11 20:17:00,18
2019-04-11 20:18:00,7
2019-04-11 20:19:00,16
2019-04-11 20:20:00,4
2019-04-11 20:21:00,2
2019-04-11 20:23:00,2
2019-04-11 20:24:00,15
2019-04-11 20:25:00,12
2019-04-11 20:26:00,9
2019-04-11 20:27:00,4
2019-04-11 20:28:00,9
2019-04-11 20:29:00,16
2019-04-11 20:30:00,7
2019-04-11 20:31:00,2
2019-04-11 20:32:00,2
2019-04-11 20:33:00,4
2019-04-11 20:34:00,6
2019-04-11 20:35:00,3
2019-04-11 20:36:00,5
2019-04-11 20:37:00,1
2019-04-11 20:38:00,6
2019-04-11 20:39:00,1
2019-04-11 20:40:00,2
2019-04-11 20:41:00,5
2019-04-11 20:42:00,2
2019-04-11 20:43:00,5
2019-04-11 20:44:00,1
2019-04-11 20:45:00,1
2019-04-11 20:46:00,6
2019-04-11 20:47:00,15
2019-04-11 20:48:00,15
2019-04-11 20:49:00,8
2019-04-11 20:50:00,4
2019-04-11 20:51:00,18
2019-04-11 20:52:00,27
2019-04-11 20:53:00,33
2019-04-11 20:54:00,31
2019-04-11 20:55:00,34
2019-04-11 20:56:00,34
2019-04-11 20:57:00,12
2019-04-11 20:58:00,14
2019-04-11 20:59:00,8
2019-04-11 21:00:00,1
2019-04-11 21:01:00,3
2019-04-11 21:02:00,11
2019-04-11 21:03:00,12
2019-04-11 21:04:00,5
2019-04-11 21:05:00,8
2019-04-11 21:06:00,15
2019-04-11 21:07:00,11
2019-04-11 21:08:00,3
2019-04-11 21:09:00,2
2019-04-11 21:10:00,5
2019-04-11 21:11:00,4
2019-04-11 21:12:00,2
2019-04-11 21:13:00,11
2019-04-11 21:14:00,9
2019-04-11 21:15:00,15
2019-04-11 21:16:00,24
2019-04-11 21:17:00,14
2019-04-11 21:18:00,3
2019-04-11 21:19:00,4
2019-04-11 21:20:00,14
2019-04-11 21:21:00,28
2019-04-11 21:22:00,26
2019-04-11 21:23:00,22
2019-04-11 21:24:00,17
2019-04-11 21:25:00,12
2019-04-11 21:26:00,17
2019-04-11 21:27:00,13
2019-04-11 21:28:00,23
2019-04-11 21:29:00,25
2019-04-11 21:30:00,12
2019-04-11 21:31:00,14
2019-04-11 21:32:00,2
2019-04-11 21:33:00,3
2019-04-11 21:34:00,4
2019-04-11 21:35:00,1
2019-04-11 21:36:00,1
2019-04-11 21:37:00,8
2019-04-11 21:38:00,13
2019-04-11 21:39:00,6
2019-04-11 21:40:00,3
2019-04-11 21:41:00,4
2019-04-11 21:42:00,3
2019-04-11 21:43:00,5
2019-04-11 21:44:00,2
2019-04-11 21:45:00,3
2019-04-11 21:46:00,12
2019-04-11 21:47:00,11
2019-04-11 21:48:00,6
2019-04-11 21:49:00,13
2019-04-11 21:50:00,13
2019-04-11 21:51:00,10
2019-04-11 21:52:00,15
2019-04-11 21:53:00,16
2019-04-11 21:54:00,18
2019-04-11 21:55:00,21
2019-04-11 21:56:00,11
2019-04-11 21:57:00,5
2019-04-11 21:58:00,4
2019-04-11 21:59:00,6
2019-04-11 22:00:00,1
2019-04-11 22:01:00,10
2019-04-11 22:02:00,12
2019-04-11 22:03:00,13
2019-04-11 22:04:00,4
2019-04-11 22:06:00,13
2019-04-11 22:07:00,15
2019-04-11 22:08:00,25
2019-04-11 22:09:00,18
2019-04-11 22:10:00,19
2019-04-11 22:11:00,20
2019-04-11 22:12:00,12
2019-04-11 22:13:00,11
2019-04-11 22:14:00,21
2019-04-11 22:15:00,20
2019-04-11 22:16:00,12
2019-04-11 22:17:00,14
2019-04-11 22:18:00,14
2019-04-11 22:19:00,18
2019-04-11 22:20:00,10
2019-04-11 22:21:00,14
2019-04-11 22:22:00,5
2019-04-11 22:23:00,4
2019-04-11 22:24:00,3
2019-04-11 22:25:00,8
2019-04-11 22:26:00,14
2019-04-11 22:27:00,14
2019-04-11 22:28:00,17
2019-04-11 22:29:00,9
2019-04-11 22:30:00,6
2019-04-11 22:31:00,2
2019-04-11 22:32:00,3
2019-04-11 22:33:00,7
2019-04-11 22:34:00,6
2019-04-11 22:35:00,7
2019-04-11 22:36:00,13
2019-04-11 22:37:00,20
2019-04-11 22:38:00,20
2019-04-11 22:39:00,13
2019-04-11 22:40:00,14
2019-04-11 22:41:00,17
2019-04-11 22:42:00,6
2019-04-11 22:43:00,4
2019-04-11 22:44:00,10
2019-04-11 22:45:00,11
2019-04-11 22:46:00,9
2019-04-11 22:47:00,15
2019-04-11 22:48:00,14
2019-04-11 22:49:00,14
2019-04-11 22:50:00,11
2019-04-11 22:51:00,15
2019-04-11 22:52:00,16
2019-04-11 22:53:00,8
2019-04-11 22:54:00,5
2019-04-11 22:55:00,11
2019-04-11 22:56:00,14
2019-04-11 22:57:00,9
2019-04-11 22:58:00,1
2019-04-11 22:59:00,3
2019-04-11 23:00:00,4
2019-04-11 23:01:00,15
2019-04-11 23:02:00,10
2019-04-11 23:03:00,10
2019-04-11 23:04:00,10
2019-04-11 23:05:00,6
2019-04-11 23:06:00,13
2019-04-11 23:07:00,6
2019-04-11 23:08:00,1
2019-04-11 23:09:00,3
2019-04-11 23:10:00,3
2019-04-11 23:11:00,4
2019-04-11 23:12:00,2
2019-04-11 23:13:00,3
2019-04-11 23:14:00,15
2019-04-11 23:15:00,8
2019-04-11 23:16:00,8
2019-04-11 23:17:00,5
2019-04-11 23:18:00,3
2019-04-11 23:19:00,5
2019-04-11 23:20:00,3
2019-04-11 23:21:00,7
2019-04-11 23:22:00,7
2019-04-11 23:23:00,3
2019-04-11 23:24:00,1
2019-04-11 23:25:00,5
2019-04-11 23:26:00,5
2019-04-11 23:27:00,3
2019-04-11 23:28:00,18
2019-04-11 23:29:00,35
2019-04-11 23:30:00,36
2019-04-11 23:31:00,38
2019-04-11 23:32:00,32
2019-04-11 23:33:00,20
2019-04-11 23:34:00,12
2019-04-11 23:35:00,4
2019-04-11 23:36:00,4
2019-04-11 23:37:00,3
2019-04-11 23:38:00,6
2019-04-11 23:39:00,2
2019-04-11 23:40:00,4
2019-04-11 23:41:00,7
2019-04-11 23:42:00,17
2019-04-11 23:43:00,9
2019-04-11 23:44:00,4
2019-04-11 23:45:00,5
2019-04-11 23:46:00,3
2019-04-11 23:47:00,2
2019-04-11 23:48:00,4
2019-04-11 23:49:00,15
2019-04-11 23:50:00,11
2019-04-11 23:51:00,8
2019-04-11 23:52:00,2
