44,"select top # z, ra, dec, bestObjID from specObj where class = # and z between # and # and zWarning = #"
2019-01-22 15:04:00,1
2019-01-22 15:07:00,1
2019-01-22 15:08:00,1
2019-01-22 15:09:00,1
2019-01-22 15:10:00,1
2019-01-22 15:11:00,1
2019-01-22 15:12:00,1
2019-01-22 15:13:00,1
2019-01-22 15:14:00,1
2019-01-22 15:15:00,1
2019-01-22 15:17:00,1
2019-01-22 15:18:00,1
2019-01-22 15:19:00,1
2019-01-22 15:20:00,1
2019-01-22 15:21:00,1
2019-01-22 15:23:00,1
2019-01-22 15:25:00,3
2019-01-22 15:26:00,1
2019-01-22 15:27:00,1
2019-01-22 15:28:00,1
2019-01-22 15:29:00,1
2019-01-22 15:30:00,1
2019-01-22 15:32:00,1
2019-01-22 15:33:00,1
2019-01-22 15:34:00,1
2019-01-22 15:35:00,1
2019-01-22 15:36:00,1
2019-02-09 02:40:00,2
2019-02-11 00:27:00,1
2019-02-11 00:33:00,1
2019-02-11 00:36:00,1
2019-02-11 00:45:00,2
2019-02-12 04:48:00,1
2019-02-15 01:07:00,3
2019-02-15 01:08:00,2
2019-02-16 07:03:00,1
2019-02-16 07:05:00,1
