3,"SELECT TOP # gal.ra, gal.dec FROM galaxy AS gal JOIN specObj AS spec ON gal.objID = spec.bestObjID WHERE spec.z > # and spec.z < # and petroR9#_r/petroR5#_r < # and eclass > # and fracdev_g < # and fracdev_g > = # ORDER BY eclass"
2019-09-21 23:07:00,2
2019-09-21 23:10:00,1
