2,"select sz.DBN, sz.msid_no, sz.the_geom.ToString () as the_geom , sz.the_geom.EnvelopeCenter () .ToString () as c , sz.the_geom.STArea () as area , ws.STATION, ws.location.ToString () as ws_location, ws.distance , dbo.geogLineFromPoints (the_geom.EnvelopeCenter () , ws.location) .ToString () as line from (select * from MSchoolZones where _year = #) sz cross apply (select top # ws.station, ws.name as ws_name, ws.location , ws.location.STDistance (sz.the_geom.EnvelopeCenter () ) as distance from weatherstation ws where ws.Location.STDistance (sz.the_geom.EnvelopeCenter () ) IS NOT # order by ws.Location.STDistance (sz.the_geom.EnvelopeCenter () )) ws"
2019-02-28 16:40:00,1
2019-03-04 06:58:00,1
