2,"SELECT TOP # s.spectroFlux_r, s.velDisp, s.z, p.petroFlux_r, p.petroMag_r FROM ..SpecObj as s JOIN ..Galaxy AS p ON s.bestObjID = p.objID JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.z > # AND s.zWarning = # AND (s.class = #) AND s.z < # AND p.r > # AND p.r < #"
2019-12-23 13:41:00,1
2019-12-23 13:44:00,1
