989,"SELECT TOP # run, camCol, rerun, field, objID, u, g, r, i, z, ra, dec FROM Star WHERE u - g < # and g - r < # and r - i > # and i - z > #"
2019-01-01 05:16:00,1
2019-01-01 08:24:00,1
2019-01-01 09:58:00,1
2019-01-01 11:07:00,1
2019-01-02 00:15:00,1
2019-01-02 00:46:00,1
2019-01-02 01:50:00,1
2019-01-02 20:11:00,1
2019-01-03 11:15:00,1
2019-01-03 17:39:00,1
2019-01-04 03:10:00,1
2019-01-05 08:53:00,1
2019-01-05 17:55:00,1
2019-01-06 12:39:00,1
2019-01-06 18:28:00,1
2019-01-07 00:08:00,1
2019-01-07 23:29:00,1
2019-01-08 02:00:00,1
2019-01-08 03:27:00,1
2019-01-08 03:48:00,1
2019-01-08 06:25:00,1
2019-01-08 06:50:00,1
2019-01-08 07:26:00,1
2019-01-08 08:39:00,1
2019-01-08 17:16:00,1
2019-01-10 02:34:00,1
2019-01-10 06:15:00,1
2019-01-10 15:36:00,1
2019-01-10 22:44:00,1
2019-01-11 04:40:00,1
2019-01-12 03:06:00,1
2019-01-12 09:38:00,1
2019-01-13 08:29:00,1
2019-01-13 09:06:00,1
2019-01-13 09:59:00,1
2019-01-14 11:39:00,1
2019-01-16 20:00:00,1
2019-01-17 04:28:00,1
2019-01-17 09:02:00,1
2019-01-17 22:57:00,1
2019-01-18 12:45:00,1
2019-01-19 21:08:00,1
2019-01-20 18:25:00,1
2019-01-22 04:12:00,1
2019-01-22 08:24:00,1
2019-01-22 09:00:00,1
2019-01-22 15:13:00,1
2019-01-22 21:23:00,1
2019-01-23 23:25:00,1
2019-01-24 13:41:00,1
2019-01-25 11:15:00,1
2019-01-25 15:55:00,1
2019-01-25 17:34:00,1
2019-01-26 13:29:00,1
2019-01-26 22:20:00,1
2019-01-27 16:19:00,1
2019-01-27 22:39:00,1
2019-01-28 01:57:00,1
2019-01-28 12:50:00,1
2019-01-28 13:24:00,1
2019-01-28 16:02:00,1
2019-01-28 16:06:00,1
2019-01-29 03:45:00,1
2019-01-29 13:11:00,1
2019-01-30 09:28:00,1
2019-01-30 17:44:00,1
2019-01-30 17:45:00,6
2019-01-31 00:35:00,1
2019-01-31 09:37:00,1
2019-01-31 22:36:00,1
2019-02-01 01:05:00,1
2019-02-01 11:46:00,1
2019-02-01 17:51:00,1
2019-02-01 20:02:00,1
2019-02-01 23:22:00,1
2019-02-02 08:10:00,1
2019-02-02 12:48:00,1
2019-02-02 15:38:00,1
2019-02-03 14:13:00,1
2019-02-04 13:38:00,1
2019-02-04 14:10:00,1
2019-02-04 14:39:00,1
2019-02-06 00:50:00,1
2019-02-06 20:42:00,1
2019-02-07 02:29:00,1
2019-02-08 01:31:00,1
2019-02-08 03:26:00,1
