329,"SELECT ra, dec, u, Err_u, g, Err_g, r, Err_r, i, Err_i, z, Err_z FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g< # AND Err_g< #"
2019-01-05 16:50:00,1
2019-01-05 16:55:00,1
2019-01-06 14:25:00,1
2019-01-07 09:16:00,1
2019-01-07 14:11:00,1
2019-01-11 11:27:00,1
2019-01-11 11:39:00,1
2019-01-11 11:41:00,1
2019-01-14 17:01:00,1
2019-01-14 17:07:00,1
2019-01-20 16:40:00,1
2019-01-20 16:48:00,1
2019-01-28 17:11:00,1
2019-01-28 21:00:00,1
2019-02-04 15:30:00,1
2019-02-07 14:36:00,1
2019-02-10 09:18:00,1
2019-02-12 12:41:00,1
2019-02-18 17:55:00,1
2019-02-18 17:59:00,1
2019-02-23 17:12:00,1
2019-02-23 17:17:00,1
2019-02-26 09:36:00,1
2019-02-27 11:12:00,1
2019-02-27 14:40:00,1
2019-02-27 22:35:00,1
2019-03-01 11:05:00,1
2019-03-06 10:01:00,1
2019-03-06 10:21:00,1
2019-03-08 11:48:00,1
2019-03-08 11:57:00,1
2019-03-11 21:23:00,1
2019-03-12 10:50:00,1
2019-03-12 10:51:00,1
2019-03-12 11:24:00,1
2019-03-12 17:27:00,1
2019-03-12 17:29:00,1
2019-03-12 17:47:00,1
2019-03-14 16:41:00,1
2019-03-14 16:45:00,1
2019-03-14 17:16:00,1
2019-03-20 09:45:00,1
2019-03-22 16:46:00,1
2019-03-22 17:14:00,1
2019-03-22 17:44:00,1
2019-03-27 14:43:00,1
2019-04-03 17:32:00,1
2019-04-08 17:51:00,1
2019-04-08 20:21:00,1
2019-04-08 20:59:00,1
2019-04-08 21:17:00,1
2019-04-11 20:09:00,1
2019-04-12 14:42:00,1
2019-04-12 16:05:00,1
2019-04-13 22:21:00,1
2019-04-16 17:51:00,1
2019-04-16 17:53:00,1
2019-04-20 19:14:00,1
2019-04-20 19:54:00,1
2019-04-22 18:31:00,1
2019-04-22 20:28:00,1
2019-04-22 21:08:00,1
2019-04-23 17:34:00,1
2019-04-24 16:20:00,1
2019-04-24 20:01:00,1
2019-04-25 16:29:00,1
2019-04-25 17:59:00,1
2019-04-27 20:35:00,1
2019-04-30 16:12:00,1
2019-04-30 16:48:00,1
2019-04-30 22:11:00,1
2019-05-01 18:04:00,1
2019-05-01 18:06:00,1
2019-05-01 18:28:00,1
2019-05-02 18:50:00,1
2019-05-03 00:55:00,1
2019-05-03 01:09:00,1
2019-05-04 15:08:00,1
2019-05-04 21:04:00,1
2019-05-06 10:26:00,1
2019-05-06 13:02:00,1
2019-05-06 13:12:00,4
2019-05-06 14:48:00,1
2019-05-06 14:49:00,1
2019-05-06 15:23:00,1
2019-05-06 15:55:00,1
2019-05-07 00:44:00,1
2019-05-07 00:46:00,1
2019-05-07 01:04:00,1
2019-05-07 01:17:00,1
2019-05-07 01:22:00,1
2019-05-08 19:35:00,1
2019-05-10 17:46:00,1
2019-05-14 14:11:00,1
2019-05-20 11:05:00,1
2019-05-20 20:16:00,1
2019-05-29 00:55:00,1
2019-05-29 00:56:00,1
2019-05-29 01:26:00,1
2019-05-31 00:59:00,1
2019-05-31 01:24:00,1
2019-05-31 10:41:00,1
2019-05-31 10:42:00,1
2019-06-05 16:20:00,1
2019-06-05 16:21:00,1
2019-06-05 16:24:00,1
2019-06-05 16:27:00,1
2019-06-05 16:30:00,1
2019-06-05 16:45:00,1
2019-06-05 16:59:00,1
2019-06-05 17:05:00,1
2019-06-05 17:08:00,1
2019-06-07 13:34:00,1
2019-06-10 19:04:00,1
2019-06-10 19:20:00,1
2019-06-10 19:37:00,1
2019-06-11 21:34:00,1
2019-06-20 11:18:00,1
2019-06-20 14:17:00,1
2019-06-20 15:22:00,1
2019-06-25 14:10:00,1
2019-06-25 15:01:00,1
2019-06-26 10:31:00,1
2019-06-26 10:33:00,1
2019-06-26 10:34:00,1
2019-06-26 10:37:00,1
2019-06-26 16:45:00,1
2019-06-26 18:40:00,1
2019-06-27 14:55:00,1
2019-06-27 15:20:00,1
2019-06-27 15:29:00,1
2019-06-27 15:55:00,1
2019-06-27 16:05:00,1
2019-06-27 16:43:00,1
2019-06-27 17:12:00,1
2019-06-27 21:41:00,1
