151,"SELECT TOP # pobj.ra, pobj.dec, pz.z, pobj.type, pobj.objID, pz.objID, pobj.dered_u, pobj.dered_g, pobj.dered_r, pobj.dered_i, pobj.dered_z from PhotoObjAll as pobj JOIN Photoz as pz ON pz.objID = pobj.objID WHERE pobj.ra BETWEEN # AND # AND pobj.type = #"
2019-01-21 17:28:00,4
2019-01-21 17:29:00,4
2019-01-21 19:26:00,11
2019-01-21 19:27:00,16
2019-01-21 19:28:00,28
2019-01-21 19:30:00,7
2019-01-21 19:33:00,4
2019-01-21 19:37:00,4
2019-01-21 19:40:00,4
2019-01-21 19:44:00,4
2019-01-21 19:47:00,4
2019-01-21 19:50:00,4
2019-01-21 19:53:00,4
2019-01-21 19:57:00,10
2019-01-21 19:58:00,4
2019-01-21 19:59:00,6
2019-01-21 20:00:00,18
2019-01-21 20:01:00,3
2019-01-21 20:03:00,1
2019-01-21 20:04:00,4
2019-01-21 20:05:00,2
2019-01-21 20:06:00,1
2019-01-21 20:07:00,4
