2,"SELECT s.specobjid, s.ra, s.dec, s.z, s.plate, s.fiberID, s.mjd, s.class, s.subclass, g.h_beta_flux as #, g.h_alpha_flux as # FROM SpecObj AS s JOIN GalSpecLine AS g ON s.specobjid = g.specobjid WHERE (s.class = # or s.class = #) g.h_beta_eqw < # AND g.h_alpha_eqw < # AND s.z between # and # AND s.snmedian_g > #"
2019-01-22 22:28:00,1
2019-01-22 22:29:00,1
