23,"SELECT p.objID, p.l, p.b, p.type FROM PhotoPrimary as p WHERE (ra between # and #) and (dec between # and #)"
2019-03-06 17:22:00,1
2019-03-06 17:23:00,2
2019-03-06 17:24:00,3
2019-03-06 17:25:00,1
2019-03-06 17:26:00,3
2019-03-06 17:27:00,2
2019-03-06 17:28:00,5
2019-03-06 17:29:00,4
2019-03-06 17:30:00,1
2019-03-06 17:31:00,1
