27,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s where p.objid = s.bestobjid"
2019-02-14 11:21:00,1
2019-02-14 11:39:00,1
2019-02-14 14:37:00,2
2019-02-14 14:38:00,1
2019-03-26 08:32:00,2
2019-07-31 23:04:00,1
2019-08-01 19:36:00,1
2019-08-01 19:45:00,1
2019-08-01 19:47:00,1
2019-08-01 19:58:00,1
2019-09-16 02:10:00,1
2019-09-16 02:16:00,1
2019-09-16 02:17:00,1
2019-09-16 02:18:00,3
2019-09-19 15:31:00,1
2019-11-10 19:57:00,1
2019-11-14 01:39:00,1
2019-11-14 01:40:00,1
2019-11-14 01:41:00,1
2019-11-14 19:11:00,1
2019-11-17 14:50:00,1
2019-12-15 22:50:00,1
2019-12-15 22:51:00,1
