34709,"SELECT DISTINCT p.ra, p.dec, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, s.Z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-03-04 10:34:00,103
2019-03-04 10:35:00,113
2019-03-04 10:36:00,109
2019-03-04 10:37:00,18
2019-03-04 10:40:00,92
2019-03-04 10:41:00,110
2019-03-04 10:42:00,105
2019-03-04 10:43:00,99
2019-03-04 10:44:00,114
2019-03-04 10:45:00,114
2019-03-04 10:46:00,118
2019-03-04 10:47:00,108
2019-03-04 10:48:00,116
2019-03-04 10:49:00,122
2019-03-04 10:50:00,106
2019-03-04 10:51:00,113
2019-03-04 10:52:00,117
2019-03-04 10:53:00,113
2019-03-04 10:54:00,118
2019-03-04 10:55:00,110
2019-03-04 10:56:00,94
2019-03-04 10:57:00,97
2019-03-04 10:58:00,96
2019-03-04 10:59:00,106
2019-03-04 11:00:00,104
2019-03-04 11:01:00,108
2019-03-04 11:02:00,107
2019-03-04 11:03:00,113
2019-03-04 11:04:00,117
2019-03-04 11:05:00,119
2019-03-04 11:06:00,130
2019-03-04 11:07:00,133
2019-03-04 11:08:00,145
2019-03-04 11:09:00,137
2019-03-04 11:10:00,133
2019-03-04 11:11:00,133
2019-03-04 11:12:00,135
2019-03-04 11:13:00,141
2019-03-04 11:14:00,148
2019-03-04 11:15:00,126
2019-03-04 11:16:00,128
2019-03-04 11:17:00,124
2019-03-04 11:18:00,60
2019-03-05 17:34:00,109
2019-03-05 17:35:00,95
2019-03-05 17:36:00,87
2019-03-05 17:37:00,90
2019-03-05 17:38:00,61
2019-03-05 17:39:00,61
2019-03-05 17:40:00,108
2019-03-05 17:41:00,146
2019-03-05 17:42:00,107
2019-03-05 17:43:00,146
2019-03-05 17:44:00,128
2019-03-05 17:45:00,105
2019-03-05 17:46:00,110
2019-03-05 17:47:00,113
2019-03-05 17:48:00,108
2019-03-05 17:49:00,63
2019-03-05 17:50:00,118
2019-03-05 17:51:00,166
2019-03-05 17:52:00,151
2019-03-05 17:53:00,64
2019-03-05 17:56:00,26
2019-03-05 17:57:00,113
2019-03-05 17:58:00,127
2019-03-06 14:39:00,4
2019-03-06 14:53:00,14
2019-03-06 14:54:00,85
2019-03-06 14:56:00,38
2019-03-06 14:57:00,150
2019-03-06 14:58:00,165
2019-03-06 14:59:00,175
2019-03-06 15:00:00,156
2019-03-06 15:01:00,154
2019-03-06 15:02:00,174
2019-03-06 15:03:00,47
2019-03-06 15:04:00,30
2019-03-06 15:05:00,95
2019-03-06 15:06:00,86
2019-03-06 15:07:00,89
2019-03-06 15:08:00,5
2019-03-06 17:14:00,75
2019-03-06 17:25:00,81
2019-03-06 17:26:00,111
2019-03-06 17:27:00,135
2019-03-06 17:28:00,111
2019-03-06 17:29:00,128
2019-03-06 17:30:00,116
2019-03-06 17:31:00,122
2019-03-06 17:32:00,32
2019-03-06 17:33:00,119
2019-03-06 17:34:00,121
