25,"select floor (px/#) *# px, floor (py/#) *# py, avg (CMembrane5#) PDL1, avg (CMembrane6#) PD1 from CellTag3 where sampleid = # and tdist< # and ptype = # group by floor (px/#) *#, floor (py/#) *#"
2019-10-09 10:44:00,1
2019-10-09 10:49:00,1
2019-10-09 10:56:00,1
2019-10-09 10:58:00,2
2019-10-09 10:59:00,1
2019-10-09 11:00:00,2
2019-10-09 11:10:00,1
2019-10-09 11:11:00,1
2019-10-09 12:35:00,2
2019-10-09 12:36:00,1
2019-10-09 12:38:00,1
2019-10-09 12:41:00,1
2019-10-09 12:42:00,1
2019-10-09 12:43:00,4
2019-10-09 12:44:00,3
2019-10-09 12:48:00,1
2019-10-09 12:50:00,1
