2,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s WHERE s.zWarning = # AND (s.secTarget & (dbo.fSecTarget (#) ) > #)"
2019-11-14 05:00:00,1
2019-11-14 05:06:00,1
