28,"SELECT ra, dec, psfMag_r , extinction_r, psfMagErr_r FROM star WHERE (ra between # and #) and (dec between # and #) AND (CLEAN = #)"
2019-09-24 19:08:00,1
2019-09-24 20:40:00,1
2019-09-26 16:02:00,1
2019-09-26 17:43:00,1
2019-09-27 19:12:00,2
2019-09-27 19:16:00,4
2019-09-27 19:19:00,2
2019-09-27 19:21:00,1
2019-09-27 19:43:00,2
2019-09-27 19:44:00,2
2019-09-27 20:27:00,1
2019-09-28 18:43:00,1
2019-09-28 19:16:00,1
2019-09-28 19:17:00,2
2019-09-29 01:44:00,3
2019-09-29 02:03:00,1
2019-09-29 18:12:00,1
2019-09-29 23:20:00,1
