72,"select top # objid, ra, dec, g, r from galaxy where clean = #"
2019-05-22 02:49:00,1
2019-05-22 02:50:00,2
2019-05-22 02:52:00,1
2019-05-22 02:59:00,1
2019-05-22 03:00:00,1
2019-05-22 03:01:00,2
2019-05-22 03:03:00,1
2019-05-22 03:04:00,2
2019-05-22 03:05:00,1
2019-05-22 03:13:00,1
2019-05-22 03:16:00,1
2019-05-22 03:19:00,1
2019-05-22 03:20:00,1
2019-05-22 03:21:00,1
2019-05-22 03:32:00,1
2019-05-22 03:33:00,1
2019-05-22 03:34:00,1
2019-05-22 03:35:00,1
2019-05-22 03:36:00,1
2019-05-22 03:38:00,1
2019-05-22 03:43:00,2
2019-05-22 03:44:00,2
2019-05-22 03:45:00,1
2019-05-22 03:46:00,2
2019-05-22 03:47:00,2
2019-05-22 03:48:00,2
2019-05-22 03:49:00,2
2019-05-22 03:50:00,1
2019-05-22 03:52:00,1
2019-05-22 03:57:00,1
2019-05-22 03:58:00,2
2019-05-22 04:00:00,1
2019-05-22 04:03:00,1
2019-05-22 04:06:00,2
2019-05-22 04:07:00,3
2019-05-22 04:11:00,1
2019-05-22 04:12:00,1
2019-05-22 04:15:00,2
2019-05-22 04:16:00,1
2019-05-22 04:17:00,1
2019-05-22 04:31:00,1
2019-05-22 04:32:00,1
2019-05-22 04:33:00,1
2019-05-22 04:35:00,1
2019-05-22 04:36:00,1
2019-05-22 04:37:00,1
2019-05-22 04:38:00,1
2019-05-22 04:53:00,2
2019-05-22 04:54:00,1
2019-05-22 09:54:00,1
2019-05-22 09:59:00,1
2019-05-22 10:00:00,1
2019-05-22 10:02:00,1
2019-05-22 10:06:00,1
2019-05-22 10:11:00,1
2019-05-22 10:12:00,1
2019-05-22 10:13:00,1
