3058,"SELECT p.objID, p.ra, p.dec, p.clean, p.flags, IS# (z.ObjID, #) as photoObjID, z.z as photoz, z.zErr as photozErr, IS# (s.specobjid, #) as specObjID, s.z as specz, s.zErr as speczErr, dbo.fPhotoFlagsN (p.flags) as note from Galaxy as p LEFT OUTER JOIN photoz as z ON z.ObjID = p.ObjID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE p.ra < # and p.ra > # and p.dec < # and p.dec > # and sqrt (power (p.ra - #, #) + power (p.dec - #, #) ) < #"
2019-01-27 14:39:00,1
2019-01-27 14:40:00,10
2019-01-27 14:41:00,1
2019-01-27 14:45:00,3
2019-01-27 16:23:00,1
2019-01-27 16:24:00,3
2019-01-27 16:50:00,1
2019-01-27 16:53:00,13
2019-01-27 17:00:00,21
2019-01-27 17:01:00,37
2019-01-27 17:02:00,37
2019-01-27 17:03:00,34
2019-01-27 17:04:00,40
2019-01-27 17:05:00,45
2019-01-27 17:06:00,31
2019-01-27 17:07:00,44
2019-01-27 17:08:00,29
2019-01-27 18:06:00,8
2019-01-27 18:07:00,53
2019-01-27 18:08:00,51
2019-01-27 18:09:00,53
2019-01-27 18:10:00,53
2019-01-27 18:11:00,52
2019-01-27 18:12:00,53
2019-01-27 18:13:00,54
2019-01-27 18:14:00,53
2019-01-27 18:15:00,56
2019-01-27 18:16:00,58
2019-01-27 18:17:00,43
2019-01-27 18:18:00,46
2019-01-27 18:19:00,48
2019-01-27 18:20:00,52
2019-01-27 18:21:00,55
2019-01-27 18:22:00,52
2019-01-27 18:23:00,55
2019-01-27 18:24:00,55
2019-01-27 18:25:00,56
2019-01-27 18:26:00,57
2019-01-27 18:27:00,56
2019-01-27 18:28:00,53
2019-01-27 18:29:00,57
2019-01-27 18:30:00,51
2019-01-27 18:31:00,52
2019-01-27 18:32:00,54
2019-01-27 18:33:00,55
2019-01-27 18:34:00,54
2019-01-27 18:35:00,47
2019-01-27 18:36:00,40
2019-01-27 18:37:00,53
2019-01-27 18:38:00,53
2019-01-27 18:39:00,55
2019-01-27 18:40:00,53
2019-01-27 18:41:00,55
2019-01-27 18:42:00,55
2019-01-27 18:43:00,53
2019-01-27 18:44:00,51
2019-01-27 18:45:00,51
2019-01-27 18:46:00,50
2019-01-27 18:47:00,51
2019-01-27 18:48:00,51
2019-01-27 18:49:00,51
2019-01-27 18:50:00,53
2019-01-27 18:51:00,57
2019-01-27 18:52:00,51
2019-01-27 18:53:00,38
2019-01-27 18:54:00,37
2019-01-27 18:55:00,49
2019-01-27 18:56:00,50
2019-01-27 18:57:00,47
2019-01-27 18:58:00,47
2019-01-27 18:59:00,14
