4,"select zoo.ra as RA, zoo.dec as DEC, zoo.specobjid as spec_ID8, zoo.spiral as Sp, zoo.elliptical as El, zoo.uncertain as uncertain, s.z as z into MyDB.galaxyzoo_DR8 from zooSpec as zoo, SpecObjAll as s where s.z between # and # and zoo.specobjid = s.bestObjID"
2019-06-11 09:59:00,1
2019-06-11 10:01:00,3
