38,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, pm.pmra, pm.pmdec FROM PhotoObj AS p JOIN propermotions pm ON p.objid = pm.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.g < #"
2019-10-02 00:58:00,1
2019-10-02 13:40:00,1
2019-10-02 14:06:00,1
2019-10-02 14:07:00,2
2019-10-02 16:45:00,1
2019-10-02 16:51:00,1
2019-10-02 16:55:00,1
2019-10-02 16:56:00,1
2019-10-02 16:57:00,1
2019-10-02 16:58:00,1
2019-10-02 16:59:00,1
2019-10-02 17:00:00,1
2019-10-02 17:01:00,1
2019-10-02 17:08:00,1
2019-10-02 17:17:00,1
2019-10-02 17:21:00,1
2019-10-02 17:35:00,1
2019-10-02 17:55:00,1
2019-10-02 17:56:00,1
2019-10-02 17:57:00,1
2019-10-02 18:03:00,1
2019-10-02 18:04:00,1
2019-10-02 18:46:00,2
2019-10-02 18:51:00,1
2019-10-02 18:52:00,1
2019-10-02 18:54:00,1
2019-10-02 18:55:00,1
2019-10-02 18:59:00,2
2019-10-02 19:00:00,1
2019-10-02 19:07:00,1
2019-10-02 19:08:00,1
2019-10-02 19:14:00,1
2019-10-02 19:15:00,1
2019-10-02 19:21:00,1
2019-10-02 19:23:00,1
