17,"SELECT top # ROW_NUMBER () OVER (ORDER BY z ASC) AS Row, (ROW_NUMBER () OVER (ORDER BY z ASC) % #) + # AS Batch, bestObjId, z, survey, subclass, ra, dec, # + survey + # + cast (run2d as varchar (#) ) + # + format (plate, #) + # + format (plate, #) + # + cast (mjd as varchar (#) ) + # + format (fiberid, #) + # as url FROM specObj WHERE class = # and zWarning = # AND bestObjId > # AND survey IN () AND snMedian > # AND (z > # AND z < #) AND (htmid*# & #) < (# * #) ORDER BY z"
2019-03-21 16:56:00,1
2019-03-21 16:57:00,1
2019-03-21 16:58:00,1
2019-03-21 17:08:00,1
2019-03-21 17:09:00,2
2019-03-21 17:12:00,1
2019-03-21 18:40:00,1
2019-03-21 19:38:00,1
2019-03-22 15:25:00,1
2019-03-22 15:27:00,4
2019-03-22 15:28:00,1
2019-03-22 15:29:00,1
2019-04-09 12:01:00,1
