2,"SELECT p.objid, p.ra, p.dec, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, s.specobjid, s.class, s.subclass, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.zWarning = # and s.class = # and s.ra< #"
2019-01-24 03:20:00,1
2019-01-24 03:58:00,1
