2,"SELECT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, u-r, g-r from PhotoObj as p WHERE p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = # or p.ObjId = #"
2019-05-21 10:47:00,1
2019-05-21 10:50:00,1
