56,"SELECT TOP # specObjID, survey, bestobjid, z, class FROM SpecObj WHERE class = # AND zwarning = # AND z BETWEEN # and # AND (survey = # OR survey = #) order by newid ()"
2019-03-30 14:26:00,2
2019-03-30 14:27:00,1
2019-03-30 14:29:00,2
2019-03-30 14:30:00,1
2019-03-30 14:33:00,1
2019-03-30 14:34:00,1
2019-03-30 14:35:00,1
2019-03-30 14:36:00,1
2019-03-30 14:37:00,1
2019-03-30 14:38:00,1
2019-03-30 14:59:00,2
2019-03-30 15:02:00,1
2019-03-30 15:03:00,1
2019-03-30 15:05:00,1
2019-03-30 15:07:00,1
2019-03-30 15:24:00,1
2019-03-30 15:29:00,1
2019-03-30 17:36:00,1
2019-03-30 18:20:00,1
2019-04-01 19:59:00,2
2019-04-01 20:22:00,1
2019-04-01 20:31:00,1
2019-04-01 20:32:00,1
2019-04-01 20:43:00,1
2019-04-01 20:51:00,1
2019-04-01 21:08:00,1
2019-04-06 15:54:00,1
2019-04-06 15:55:00,1
2019-04-06 16:00:00,2
2019-04-06 16:02:00,2
2019-04-06 16:04:00,1
2019-04-06 16:05:00,1
2019-04-06 16:08:00,2
2019-04-06 16:11:00,2
2019-04-06 16:13:00,1
2019-04-06 16:14:00,1
2019-04-06 16:16:00,2
2019-04-06 16:18:00,2
2019-04-07 10:13:00,1
2019-04-07 10:51:00,1
2019-04-07 10:52:00,1
2019-04-15 18:06:00,1
2019-04-15 18:10:00,1
2019-04-15 18:15:00,1
2019-04-15 18:45:00,1
2019-05-04 12:28:00,1
