2,"select ra, dec into mydb.MyTable_new from dbo.zoo2Mainspecz where t0#_bar_a0#_bar_count > = # and t0#_bar_a0#_bar_fraction > # and t0#_bar_a0#_bar_weighted_fraction > # and t0#_bar_a0#_bar_debiased > #"
2019-04-08 06:27:00,1
2019-04-08 06:29:00,1
