2,"SELECT m.*, e.specsfr_tot_p5# INTO myDB.PosterResults FROM myDB.PosterCoord as m, galSpecExtra as e, PhotoObjAll as p WHERE p.objID = m.objID and e.specObjID = m.objID"
2019-07-23 17:27:00,1
2019-07-23 17:29:00,1
