206,"SELECT TOP # p.apstar_id, p.apogee_id, p.ra, p.dec, p.glon, p.glat, p.vhelio_avg, p.vscatter, a.teff, a.logg, a.metals FROM apogeeStar p JOIN aspcapStar a on a.apstar_id = p.apstar_id WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-01-28 20:43:00,2
2019-01-30 13:42:00,1
2019-02-20 05:28:00,1
2019-03-23 14:52:00,1
2019-04-03 22:06:00,1
2019-04-07 11:34:00,1
2019-05-15 04:07:00,1
2019-05-16 01:15:00,1
2019-05-16 13:52:00,1
2019-05-20 17:05:00,1
2019-05-25 04:15:00,1
2019-05-28 19:24:00,1
2019-05-29 17:34:00,1
2019-06-03 11:43:00,1
2019-06-05 21:02:00,1
2019-06-07 13:18:00,1
2019-06-13 14:10:00,1
2019-06-14 09:23:00,1
2019-06-16 05:32:00,1
2019-06-18 19:13:00,1
2019-06-25 02:52:00,1
2019-06-26 07:13:00,1
2019-06-29 01:14:00,1
2019-07-03 13:13:00,1
2019-07-05 22:14:00,1
2019-07-08 08:21:00,1
2019-07-09 12:30:00,1
2019-07-15 05:49:00,1
2019-07-18 18:33:00,1
2019-07-23 19:36:00,1
2019-07-24 14:13:00,1
2019-07-28 09:09:00,1
2019-07-28 21:24:00,1
2019-08-03 09:39:00,1
2019-08-04 03:39:00,1
2019-08-04 23:31:00,1
2019-08-05 15:35:00,1
2019-08-10 04:56:00,1
2019-08-16 14:42:00,1
2019-08-22 00:09:00,1
2019-08-28 04:31:00,1
2019-09-02 12:27:00,1
2019-09-05 04:03:00,1
2019-09-06 00:22:00,1
2019-09-14 17:12:00,1
2019-09-16 12:31:00,1
2019-09-20 08:29:00,1
2019-09-22 03:47:00,1
2019-09-22 13:57:00,1
2019-09-25 17:34:00,1
2019-09-26 22:37:00,1
2019-10-01 08:00:00,1
2019-10-05 01:50:00,1
2019-10-07 08:14:00,1
2019-10-09 14:38:00,1
2019-10-13 13:02:00,1
2019-10-14 20:57:00,1
2019-10-19 18:23:00,1
2019-10-24 21:04:00,1
2019-10-24 23:50:00,1
2019-10-30 19:00:00,1
2019-11-02 19:47:00,1
2019-11-06 22:39:00,1
2019-11-15 03:22:00,1
2019-11-21 05:58:00,1
2019-11-28 10:51:00,1
2019-12-03 21:01:00,1
2019-12-03 21:02:00,39
2019-12-03 21:03:00,88
2019-12-06 22:04:00,1
2019-12-07 01:28:00,1
2019-12-14 05:45:00,1
2019-12-14 09:08:00,5
2019-12-21 03:05:00,1
2019-12-28 09:31:00,1
2019-12-30 19:08:00,1
