2,"SELECT TOP # p.objID, p.specObjID , p.cModelMag_u, p.cModelMag_g, p.cModelMag_r, cModelMag_i, p.cModelMag_u, p.z FROM SpecPhotoAll AS p WHERE (p.specObjID > #)"
2019-03-26 21:54:00,1
2019-03-26 21:55:00,1
