2,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from star p where p.r > # and (p.g-p.r BETWEEN # AND #)"
2019-06-24 20:52:00,1
2019-06-24 20:54:00,1
