2,"SELECT STR (z, #, #) z, ra, dec FROM Galaxy WHERE specClass = # AND dec BETWEEN # AND # AND ra BETWEEN # AND # AND z BETWEEN # AND #"
2019-03-22 01:02:00,1
2019-05-05 22:57:00,1
