3,"SELECT p.objid, p.ra, p.dec, p.g, p.r, p.i into mydb.MyTable from Star AS p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.r BETWEEN # AND # ORDER by p.r"
2019-07-06 06:46:00,1
2019-10-01 04:59:00,2
