16,select fig = @center.STBuffer ((# * #) / # * #) .ToString ()
2019-11-11 09:33:00,2
2019-11-11 09:34:00,1
2019-11-11 09:41:00,2
2019-11-11 09:42:00,1
2019-11-11 09:46:00,2
2019-11-11 09:48:00,1
2019-11-11 09:54:00,1
2019-11-11 09:55:00,1
2019-11-11 09:56:00,1
2019-11-11 15:36:00,1
2019-11-11 15:42:00,1
2019-11-11 15:45:00,1
2019-11-11 15:50:00,1
