4,"select a.objID, a.ra, a.dec, c.logMass, c.z, b.z, d.z into mydb.sdss from PhotoObj as a, Photoz as b, stellarMassFSPSGranWideDust as c, SpecPhotoAll as d where a.type = # and a.objID = b.objID and c.specObjID = a.specObjID and d.specObjID = a.specObjID and c.fiberID = d.fiberID and c.plate = d.plate and c.MJD = d.mjd and abs (c.z*#-#) < # and c.logMass> # and abs (a.ra-#) < # and abs (a.dec-#) < #"
2019-01-18 08:37:00,2
2019-01-18 08:38:00,2
