3028,select fieldid from field where cccol_u between # and # and skyframes_r between .# and #
2019-01-24 18:13:00,5
2019-01-24 18:41:00,4
2019-01-24 18:42:00,5
2019-01-24 18:43:00,9
2019-01-24 18:56:00,1
2019-01-24 19:18:00,24
2019-01-24 19:19:00,32
2019-01-24 19:20:00,60
2019-01-24 19:21:00,11
2019-01-24 21:12:00,1
2019-01-24 21:33:00,1
2019-01-24 23:35:00,33
2019-01-24 23:36:00,2
2019-01-24 23:37:00,48
2019-01-24 23:38:00,20
2019-01-24 23:39:00,12
2019-01-24 23:40:00,43
2019-01-24 23:42:00,76
2019-01-24 23:43:00,3
2019-01-25 02:02:00,10
2019-01-25 02:03:00,8
2019-01-25 04:11:00,10
2019-01-25 08:32:00,1
2019-01-25 12:04:00,42
2019-01-25 12:08:00,129
2019-01-25 12:09:00,291
2019-01-25 12:10:00,18
2019-01-25 12:44:00,36
2019-01-25 12:45:00,16
2019-01-25 12:48:00,20
2019-01-25 12:49:00,8
2019-01-25 14:33:00,3
2019-01-25 14:34:00,3
2019-01-25 14:38:00,2
2019-01-25 14:39:00,2
2019-01-25 14:42:00,1
2019-01-25 14:46:00,3
2019-01-25 15:15:00,1
2019-01-25 15:38:00,3
2019-01-25 15:39:00,2
2019-01-25 15:40:00,5
2019-01-25 15:48:00,2
2019-01-25 15:49:00,8
2019-01-25 15:51:00,7
2019-01-25 15:58:00,6
2019-01-25 15:59:00,4
2019-01-25 16:00:00,3
2019-01-25 16:05:00,4
2019-01-25 16:08:00,1
2019-01-25 16:10:00,2
2019-01-25 16:13:00,1
2019-01-25 16:14:00,1
2019-01-25 16:16:00,1
2019-01-25 16:29:00,7
2019-01-25 16:47:00,6
2019-01-25 16:50:00,1
2019-01-25 16:51:00,1
2019-01-25 16:57:00,2
2019-01-25 17:18:00,16
2019-01-25 17:33:00,2
2019-01-25 17:34:00,1
2019-01-25 17:36:00,1
2019-01-25 17:46:00,1
2019-01-25 17:47:00,1
2019-01-25 17:48:00,1
2019-01-25 17:55:00,1
2019-01-25 17:58:00,1
2019-01-25 18:03:00,1
2019-01-25 18:04:00,1
2019-01-25 18:12:00,1
2019-01-25 18:13:00,1
2019-01-25 18:17:00,1
2019-01-25 18:18:00,1
2019-01-25 18:26:00,1
2019-01-25 18:28:00,1
2019-01-25 18:32:00,1
2019-01-25 18:34:00,1
2019-01-25 18:40:00,1
2019-01-25 18:45:00,1
2019-01-25 18:46:00,1
2019-01-25 18:52:00,1
2019-01-25 18:54:00,1
2019-01-25 19:00:00,1
2019-01-25 19:02:00,1
2019-01-25 19:07:00,1
2019-01-25 19:08:00,1
2019-01-25 19:16:00,1
2019-01-25 19:17:00,1
2019-01-25 19:20:00,1
2019-01-25 19:21:00,1
2019-01-25 19:30:00,1
2019-01-25 19:33:00,2
2019-01-25 19:38:00,1
2019-01-25 19:45:00,1
2019-01-25 19:50:00,1
2019-01-25 19:51:00,2
2019-01-25 19:58:00,1
2019-01-25 20:07:00,2
2019-01-25 20:13:00,1
2019-01-25 20:17:00,1
2019-01-25 20:22:00,1
2019-01-25 20:26:00,6
2019-01-25 20:40:00,1
2019-01-25 20:41:00,1
2019-01-25 20:42:00,2
2019-01-25 20:53:00,1
2019-01-25 20:54:00,1
2019-01-25 20:55:00,1
2019-01-25 20:56:00,1
2019-01-25 21:07:00,2
2019-01-25 21:09:00,1
2019-01-25 21:10:00,1
2019-01-25 21:18:00,1
2019-01-25 21:22:00,1
2019-01-25 21:23:00,1
2019-01-25 21:24:00,1
2019-01-25 21:31:00,1
2019-01-25 21:36:00,1
2019-01-25 21:38:00,2
2019-01-25 21:45:00,1
2019-01-25 21:51:00,2
2019-01-25 21:52:00,1
2019-01-25 21:59:00,1
2019-01-25 22:02:00,1
2019-01-25 22:04:00,1
2019-01-25 22:10:00,1
2019-01-25 22:12:00,1
2019-01-25 22:14:00,1
2019-01-25 22:17:00,1
2019-01-25 22:23:00,1
2019-01-25 22:27:00,2
2019-01-25 22:31:00,1
2019-01-25 22:42:00,1
2019-01-25 22:45:00,1
2019-01-25 22:49:00,5
2019-01-25 22:59:00,1
2019-01-25 23:00:00,2
2019-01-25 23:08:00,1
2019-01-25 23:11:00,1
2019-01-25 23:12:00,1
2019-01-25 23:24:00,6
2019-01-25 23:25:00,1
2019-01-25 23:38:00,1
2019-01-25 23:39:00,1
2019-01-25 23:40:00,2
2019-01-25 23:52:00,1
2019-01-25 23:54:00,1
2019-01-25 23:55:00,1
2019-01-25 23:56:00,1
2019-01-26 00:07:00,1
2019-01-26 00:08:00,1
2019-01-26 00:09:00,1
2019-01-26 00:10:00,1
2019-01-26 00:20:00,1
2019-01-26 00:21:00,1
2019-01-26 00:23:00,1
2019-01-26 00:24:00,1
2019-01-26 00:34:00,2
2019-01-26 00:38:00,1
2019-01-26 00:41:00,1
2019-01-26 00:50:00,1
2019-01-26 00:52:00,1
2019-01-26 00:59:00,1
2019-01-26 01:03:00,10
2019-01-26 01:17:00,4
2019-01-26 01:29:00,1
2019-01-26 01:30:00,2
2019-01-26 01:33:00,1
2019-01-26 01:41:00,1
2019-01-26 01:42:00,1
2019-01-26 01:48:00,2
2019-01-26 01:56:00,1
2019-01-26 01:58:00,1
2019-01-26 02:03:00,2
2019-01-26 02:11:00,1
2019-01-26 02:12:00,1
2019-01-26 02:16:00,1
2019-01-26 02:22:00,1
2019-01-26 02:23:00,1
2019-01-26 02:28:00,1
2019-01-26 02:31:00,1
2019-01-26 02:38:00,2
2019-01-26 02:41:00,1
2019-01-26 02:46:00,1
2019-01-26 02:52:00,1
2019-01-26 02:54:00,1
2019-01-26 02:57:00,1
2019-01-26 03:04:00,1
2019-01-26 03:06:00,1
2019-01-26 03:08:00,1
2019-01-26 03:11:00,1
2019-01-26 03:16:00,1
2019-01-26 03:21:00,1
2019-01-26 03:25:00,1
2019-01-26 03:27:00,1
2019-01-26 03:30:00,1
2019-01-26 03:35:00,1
2019-01-26 03:40:00,1
2019-01-26 03:44:00,1
2019-01-26 03:45:00,1
2019-01-26 03:49:00,1
2019-01-26 03:54:00,1
2019-01-26 04:03:00,1
2019-01-26 04:07:00,8
2019-01-26 04:20:00,1
2019-01-26 04:21:00,1
2019-01-26 04:22:00,1
2019-01-26 04:24:00,1
2019-01-26 04:35:00,1
2019-01-26 04:36:00,1
2019-01-26 04:37:00,1
2019-01-26 04:38:00,1
2019-01-26 04:49:00,4
2019-01-26 04:51:00,1
2019-01-26 04:55:00,1
2019-01-26 05:04:00,1
2019-01-26 05:06:00,2
2019-01-26 05:10:00,1
2019-01-26 05:18:00,1
2019-01-26 05:20:00,1
2019-01-26 05:21:00,1
2019-01-26 05:26:00,1
2019-01-26 05:30:00,1
2019-01-26 05:36:00,1
2019-01-26 05:37:00,1
2019-01-26 05:44:00,1
2019-01-26 05:47:00,2
2019-01-26 05:56:00,1
2019-01-26 05:58:00,1
2019-01-26 06:03:00,1
2019-01-26 06:08:00,11
2019-01-26 06:18:00,1
2019-01-26 06:22:00,1
2019-01-26 06:23:00,1
2019-01-26 06:26:00,1
2019-01-26 06:31:00,1
2019-01-26 06:35:00,2
2019-01-26 06:41:00,1
2019-01-26 06:48:00,1
2019-01-26 06:53:00,6
2019-01-26 07:05:00,2
2019-01-26 07:09:00,1
2019-01-26 07:10:00,1
2019-01-26 07:17:00,1
2019-01-26 07:19:00,1
2019-01-26 07:23:00,1
2019-01-26 07:24:00,1
2019-01-26 07:30:00,1
2019-01-26 07:32:00,1
2019-01-26 07:37:00,1
2019-01-26 07:38:00,1
2019-01-26 07:44:00,1
2019-01-26 07:48:00,1
2019-01-26 07:50:00,1
2019-01-26 07:52:00,1
2019-01-26 07:57:00,1
2019-01-26 08:01:00,1
2019-01-26 08:04:00,1
2019-01-26 08:06:00,1
2019-01-26 08:12:00,1
2019-01-26 08:15:00,1
2019-01-26 08:18:00,1
2019-01-26 08:19:00,1
2019-01-26 08:25:00,1
2019-01-26 08:32:00,2
2019-01-26 08:34:00,1
2019-01-26 08:36:00,1
2019-01-26 08:47:00,1
2019-01-26 08:48:00,1
2019-01-26 08:49:00,1
2019-01-26 08:50:00,1
2019-01-26 08:59:00,1
2019-01-26 09:01:00,1
2019-01-26 09:05:00,2
2019-01-26 09:10:00,1
2019-01-26 09:16:00,1
2019-01-26 09:22:00,1
2019-01-26 09:23:00,1
2019-01-26 09:28:00,1
2019-01-26 09:34:00,1
2019-01-26 09:38:00,3
2019-01-26 09:39:00,3
2019-01-26 09:51:00,1
2019-01-26 09:52:00,1
2019-01-26 09:53:00,1
2019-01-26 09:54:00,1
2019-01-26 10:03:00,1
2019-01-26 10:07:00,1
2019-01-26 10:08:00,1
2019-01-26 10:09:00,1
2019-01-26 10:17:00,1
2019-01-26 10:22:00,2
2019-01-26 10:25:00,1
2019-01-26 10:31:00,1
2019-01-26 10:36:00,1
2019-01-26 10:39:00,1
2019-01-26 10:42:00,1
2019-01-26 10:51:00,4
2019-01-26 11:04:00,2
2019-01-26 11:05:00,1
2019-01-26 11:08:00,1
2019-01-26 11:16:00,1
2019-01-26 11:17:00,1
2019-01-26 11:21:00,1
2019-01-26 11:26:00,1
2019-01-26 11:28:00,1
2019-01-26 11:35:00,1
