2,"SELECT ra, dec, dered_r, modelMag_u, modelMag_g , modelMag_r, modelMag_i, modelMag_z , petroR9#_r, petroR5#_r into mydb.MyTable_# from PhotoObjAll WHERE dered_r BETWEEN # AND # AND ra BETWEEN # AND #"
2019-03-26 03:21:00,1
2019-03-26 03:22:00,1
