17,"SELECT TOP # p.objid, p.ra, p.dec FROM PhotoObj AS p WHERE p.u BETWEEN # AND #"
2019-12-16 10:50:00,1
2019-12-16 10:51:00,2
2019-12-16 10:52:00,2
2019-12-16 10:53:00,2
2019-12-16 10:54:00,5
2019-12-16 10:55:00,5
