288928,"select p.ra, p.dec, p.type, p.insidemask, p.flags_g, p.flags_i, p.flags_r, p.cModelMag_u, p.cModelMagErr_u, p.cModelMag_g, p.cModelMagErr_g, p.cModelMag_r, p.cModelMagErr_r, p.cModelMag_i, p.cModelMagErr_i, p.cModelMag_z, p.cModelMagErr_z from Galaxy p join dbo.fGetNearbyObjEq (#, #, #) r on p.ObjID = r.ObjID"
2019-01-09 01:27:00,18
2019-01-09 01:28:00,54
2019-01-09 01:29:00,50
2019-01-09 01:30:00,59
2019-01-09 01:31:00,60
2019-01-09 01:32:00,59
2019-01-09 01:33:00,66
2019-01-09 01:34:00,48
2019-01-09 01:35:00,61
2019-01-09 01:36:00,70
2019-01-09 01:37:00,90
2019-01-09 01:38:00,92
2019-01-09 01:39:00,91
2019-01-09 01:40:00,105
2019-01-09 01:41:00,102
2019-01-09 01:42:00,112
2019-01-09 01:43:00,93
2019-01-09 01:44:00,113
2019-01-09 01:45:00,103
2019-01-09 01:46:00,114
2019-01-09 01:47:00,118
2019-01-09 01:48:00,106
2019-01-09 01:49:00,117
2019-01-09 01:50:00,118
2019-01-09 01:51:00,118
2019-01-09 01:52:00,113
2019-01-09 01:53:00,123
2019-01-09 01:54:00,117
2019-01-09 01:55:00,113
2019-01-09 01:56:00,127
2019-01-09 01:57:00,122
2019-01-09 01:58:00,121
2019-01-09 01:59:00,140
2019-01-09 02:00:00,125
2019-01-09 02:01:00,125
2019-01-09 02:02:00,135
2019-01-09 02:03:00,122
2019-01-09 02:04:00,117
2019-01-09 02:05:00,127
2019-01-09 02:06:00,120
2019-01-09 02:07:00,124
2019-01-09 02:08:00,131
2019-01-09 02:09:00,133
2019-01-09 02:10:00,144
2019-01-09 02:11:00,128
2019-01-09 02:12:00,137
2019-01-09 02:13:00,131
2019-01-09 02:14:00,135
2019-01-09 02:15:00,127
2019-01-09 02:16:00,120
2019-01-09 02:17:00,132
2019-01-09 02:18:00,141
2019-01-09 02:19:00,138
2019-01-09 02:20:00,137
2019-01-09 02:21:00,119
2019-01-09 02:22:00,139
2019-01-09 02:23:00,144
2019-01-09 02:24:00,126
2019-01-09 02:25:00,139
2019-01-09 02:26:00,136
2019-01-09 02:27:00,140
2019-01-09 02:28:00,148
2019-01-09 02:29:00,147
2019-01-09 02:30:00,149
2019-01-09 02:31:00,136
2019-01-09 02:32:00,140
2019-01-09 02:33:00,140
2019-01-09 02:34:00,129
2019-01-09 02:35:00,136
2019-01-09 02:36:00,136
2019-01-09 02:37:00,150
2019-01-09 02:38:00,146
2019-01-09 02:39:00,144
2019-01-09 02:40:00,135
2019-01-09 02:41:00,148
2019-01-09 02:42:00,137
2019-01-09 02:43:00,138
2019-01-09 02:44:00,152
2019-01-09 02:45:00,158
2019-01-09 02:46:00,155
2019-01-09 02:47:00,142
2019-01-09 02:48:00,153
2019-01-09 02:49:00,151
2019-01-09 02:50:00,139
2019-01-09 02:51:00,156
2019-01-09 02:52:00,139
2019-01-09 02:53:00,155
2019-01-09 02:54:00,138
2019-01-09 02:55:00,145
2019-01-09 02:56:00,148
2019-01-09 02:57:00,156
2019-01-09 02:58:00,149
2019-01-09 02:59:00,152
2019-01-09 03:00:00,152
2019-01-09 03:01:00,149
2019-01-09 03:02:00,151
2019-01-09 03:03:00,148
2019-01-09 03:04:00,139
2019-01-09 03:05:00,146
2019-01-09 03:06:00,152
2019-01-09 03:07:00,147
2019-01-09 03:08:00,149
2019-01-09 03:09:00,153
2019-01-09 03:10:00,153
2019-01-09 03:11:00,153
2019-01-09 03:12:00,153
2019-01-09 03:13:00,139
2019-01-09 03:14:00,156
2019-01-09 03:15:00,161
2019-01-09 03:16:00,161
2019-01-09 03:17:00,155
2019-01-09 03:18:00,152
2019-01-09 03:19:00,159
2019-01-09 03:20:00,156
2019-01-09 03:21:00,156
2019-01-09 03:22:00,147
2019-01-09 03:23:00,157
2019-01-09 03:24:00,162
2019-01-09 03:25:00,156
2019-01-09 03:26:00,164
2019-01-09 03:27:00,151
2019-01-09 03:28:00,144
2019-01-09 03:29:00,155
2019-01-09 03:30:00,157
2019-01-09 03:31:00,158
2019-01-09 03:32:00,168
2019-01-09 03:33:00,158
2019-01-09 03:34:00,153
2019-01-09 03:35:00,170
2019-01-09 03:36:00,159
2019-01-09 03:37:00,170
2019-01-09 03:38:00,165
2019-01-09 03:39:00,160
2019-01-09 03:40:00,167
2019-01-09 03:41:00,159
2019-01-09 03:42:00,163
2019-01-09 03:43:00,161
2019-01-09 03:44:00,152
2019-01-09 03:45:00,159
2019-01-09 03:46:00,153
2019-01-09 03:47:00,180
2019-01-09 03:48:00,170
2019-01-09 03:49:00,166
2019-01-09 03:50:00,174
2019-01-09 03:51:00,156
2019-01-09 03:52:00,155
2019-01-09 03:53:00,153
2019-01-09 03:54:00,168
2019-01-09 03:55:00,162
2019-01-09 03:56:00,168
2019-01-09 03:57:00,165
2019-01-09 03:58:00,165
2019-01-09 03:59:00,167
2019-01-09 04:00:00,175
2019-01-09 04:01:00,174
2019-01-09 04:02:00,163
2019-01-09 04:03:00,164
2019-01-09 04:04:00,163
2019-01-09 04:05:00,176
2019-01-09 04:06:00,164
2019-01-09 04:07:00,162
2019-01-09 04:08:00,166
2019-01-09 04:09:00,165
2019-01-09 04:10:00,144
2019-01-09 04:11:00,171
2019-01-09 04:12:00,170
2019-01-09 04:13:00,171
2019-01-09 04:14:00,167
2019-01-09 04:15:00,170
2019-01-09 04:16:00,176
2019-01-09 04:17:00,173
2019-01-09 04:18:00,172
2019-01-09 04:19:00,178
2019-01-09 04:20:00,165
2019-01-09 04:21:00,174
2019-01-09 04:22:00,169
2019-01-09 04:23:00,173
2019-01-09 04:24:00,168
2019-01-09 04:25:00,179
2019-01-09 04:26:00,162
2019-01-09 04:27:00,167
2019-01-09 04:28:00,172
2019-01-09 04:29:00,171
2019-01-09 04:30:00,149
2019-01-09 04:31:00,141
2019-01-09 04:32:00,160
2019-01-09 04:33:00,177
2019-01-09 04:34:00,181
2019-01-09 04:35:00,172
2019-01-09 04:36:00,161
2019-01-09 04:37:00,165
2019-01-09 04:38:00,163
2019-01-09 04:39:00,175
2019-01-09 04:40:00,175
2019-01-09 04:41:00,181
2019-01-09 04:42:00,169
2019-01-09 04:43:00,173
2019-01-09 04:44:00,158
2019-01-09 04:45:00,105
2019-01-09 04:46:00,133
2019-01-09 04:47:00,174
2019-01-09 04:48:00,173
2019-01-09 04:49:00,184
2019-01-09 04:50:00,177
2019-01-09 04:51:00,175
2019-01-09 04:52:00,178
2019-01-09 04:53:00,162
2019-01-09 04:54:00,174
2019-01-09 04:55:00,169
2019-01-09 04:56:00,163
2019-01-09 04:57:00,185
2019-01-09 04:58:00,164
2019-01-09 04:59:00,177
2019-01-09 05:00:00,177
2019-01-09 05:01:00,186
2019-01-09 05:02:00,173
2019-01-09 05:03:00,176
2019-01-09 05:04:00,170
2019-01-09 05:05:00,131
2019-01-09 05:06:00,171
2019-01-09 05:07:00,172
2019-01-09 05:08:00,174
2019-01-09 05:09:00,174
2019-01-09 05:10:00,171
2019-01-09 05:11:00,190
2019-01-09 05:12:00,189
2019-01-09 05:13:00,179
2019-01-09 05:14:00,165
2019-01-09 05:15:00,167
2019-01-09 05:16:00,178
2019-01-09 05:17:00,163
2019-01-09 05:18:00,183
2019-01-09 05:19:00,180
2019-01-09 05:20:00,183
2019-01-09 05:21:00,183
2019-01-09 05:22:00,183
2019-01-09 05:23:00,183
2019-01-09 05:24:00,175
2019-01-09 05:25:00,168
2019-01-09 05:26:00,183
2019-01-09 05:27:00,186
2019-01-09 05:28:00,171
2019-01-09 05:29:00,185
2019-01-09 05:30:00,170
2019-01-09 05:31:00,166
2019-01-09 05:32:00,179
2019-01-09 05:33:00,187
2019-01-09 05:34:00,174
2019-01-09 05:35:00,178
2019-01-09 05:36:00,178
2019-01-09 05:37:00,166
2019-01-09 05:38:00,172
2019-01-09 05:39:00,176
2019-01-09 05:40:00,177
2019-01-09 05:41:00,174
2019-01-09 05:42:00,166
2019-01-09 05:43:00,182
2019-01-09 05:44:00,183
2019-01-09 05:45:00,172
2019-01-09 05:46:00,176
2019-01-09 05:47:00,162
2019-01-09 05:48:00,179
2019-01-09 05:49:00,170
2019-01-09 05:50:00,179
2019-01-09 05:51:00,168
2019-01-09 05:52:00,176
2019-01-09 05:53:00,176
2019-01-09 05:54:00,180
2019-01-09 05:55:00,177
2019-01-09 05:56:00,177
2019-01-09 05:57:00,171
2019-01-09 05:58:00,177
2019-01-09 05:59:00,176
2019-01-09 06:00:00,175
2019-01-09 06:01:00,174
2019-01-09 06:02:00,173
2019-01-09 06:03:00,165
2019-01-09 06:04:00,175
2019-01-09 06:05:00,171
2019-01-09 06:06:00,169
2019-01-09 06:07:00,170
2019-01-09 06:08:00,162
2019-01-09 06:09:00,170
2019-01-09 06:10:00,177
2019-01-09 06:11:00,168
2019-01-09 06:12:00,164
2019-01-09 06:13:00,175
2019-01-09 06:14:00,171
2019-01-09 06:15:00,179
2019-01-09 06:16:00,175
2019-01-09 06:17:00,180
2019-01-09 06:18:00,184
2019-01-09 06:19:00,173
2019-01-09 06:20:00,172
2019-01-09 06:21:00,175
2019-01-09 06:22:00,175
2019-01-09 06:23:00,169
2019-01-09 06:24:00,172
2019-01-09 06:25:00,175
