26,"SELECT TOP # specObjID, z FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # and # AND htmid*# & # < (# * #)"
2019-03-25 14:50:00,2
2019-03-25 14:51:00,2
2019-03-25 14:52:00,2
2019-03-25 14:53:00,1
2019-03-25 15:30:00,2
2019-03-25 15:31:00,2
2019-03-25 18:36:00,1
2019-03-27 14:33:00,2
2019-03-27 14:34:00,2
2019-03-27 14:36:00,1
2019-03-27 14:38:00,1
2019-03-28 10:27:00,1
2019-03-28 11:15:00,1
2019-03-28 11:57:00,1
2019-03-28 12:15:00,1
2019-03-28 14:06:00,1
2019-03-28 14:59:00,1
2019-03-28 15:27:00,1
2019-03-28 15:44:00,1
