141,"SELECT spec.* FROM SpecObjAll as spec JOIN fGetNearestSpecObjEq (#, #, #) as n ON n.specobjid = spec.specobjid ORDER by n.distance"
2019-04-11 03:48:00,1
2019-04-11 03:53:00,40
2019-04-11 03:54:00,1
2019-04-11 03:55:00,1
2019-04-11 03:56:00,3
2019-04-11 04:21:00,1
2019-04-11 04:25:00,34
2019-04-11 04:26:00,6
2019-04-11 04:27:00,1
2019-04-11 04:28:00,4
2019-04-11 15:31:00,2
2019-04-11 15:34:00,1
2019-04-11 15:52:00,1
2019-04-11 15:56:00,8
2019-04-11 15:57:00,32
2019-04-11 15:58:00,1
2019-04-11 15:59:00,2
2019-04-11 16:00:00,2
