94,SELECT count (*) FROM SpecObj WHERE SUBCLASS = #AND (survey = # OR survey = #)
2019-02-05 04:36:00,19
2019-02-05 04:37:00,28
2019-02-05 04:39:00,8
2019-02-05 04:45:00,39
