2,"SELECT ra, dec, u, g, r, i, z, Err_u, Err_g, Err_r, Err_i, Err_z FROM BestDR9..Star WHERE ( ((ra BETWEEN # AND #) AND (dec BETWEEN # AND #) ) OR ( (ra BETWEEN # AND #) AND (dec BETWEEN # AND #) ) OR ( (ra BETWEEN # AND #) AND (dec BETWEEN # AND #) ) OR ( (ra BETWEEN # AND #) AND (dec BETWEEN # AND #) ) OR ( (ra BETWEEN # AND #) AND (dec BETWEEN # AND #) ) OR ( (ra BETWEEN # AND #) AND (dec BETWEEN # AND #) ))"
2019-04-05 07:19:00,1
2019-04-05 07:21:00,1
