1371,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE"
2019-04-11 02:23:00,2
2019-04-11 02:29:00,1
2019-04-11 02:34:00,2
2019-04-11 02:38:00,1
2019-04-11 02:43:00,1
2019-04-11 02:47:00,1
2019-04-11 02:51:00,1
2019-04-11 02:56:00,1
2019-04-11 03:00:00,1
2019-04-11 03:05:00,1
2019-04-11 03:09:00,1
2019-04-11 03:13:00,1
2019-04-11 03:15:00,2
2019-04-11 03:28:00,1
2019-04-11 03:32:00,1
2019-04-11 03:37:00,1
2019-04-11 03:42:00,1
2019-04-11 03:47:00,1
2019-04-11 03:51:00,2
2019-04-11 03:54:00,1
2019-04-11 04:04:00,1
2019-04-11 04:05:00,1
2019-04-11 04:08:00,1
2019-04-11 04:09:00,1
2019-04-11 04:19:00,1
2019-04-11 04:23:00,1
2019-04-11 04:27:00,1
2019-04-11 04:37:00,1
2019-04-11 04:40:00,1
2019-04-11 04:41:00,1
2019-04-11 04:53:00,1
2019-04-11 04:55:00,1
2019-04-11 04:56:00,1
2019-04-11 04:57:00,1
2019-04-11 04:59:00,1
2019-04-11 05:07:00,1
2019-04-11 05:11:00,1
2019-04-11 05:26:00,2
2019-04-11 05:29:00,1
2019-04-11 05:30:00,1
2019-04-11 05:43:00,1
2019-04-11 05:44:00,1
2019-04-11 05:58:00,1
2019-04-11 06:02:00,1
2019-04-11 06:06:00,1
2019-04-11 06:09:00,1
2019-04-11 06:14:00,1
2019-04-11 06:17:00,1
2019-04-11 06:22:00,1
2019-04-11 06:26:00,1
2019-04-11 06:32:00,1
2019-04-11 06:37:00,1
2019-04-11 06:41:00,2
2019-04-11 06:46:00,1
2019-04-11 06:47:00,1
2019-04-11 06:50:00,1
2019-04-11 06:51:00,1
2019-04-11 06:54:00,1
2019-04-11 06:55:00,1
2019-04-11 06:57:00,1
2019-04-11 06:59:00,1
2019-04-11 07:00:00,1
2019-04-11 18:31:00,1
2019-04-11 18:35:00,1
2019-04-11 18:36:00,1
2019-04-11 18:39:00,1
2019-04-11 18:48:00,2
2019-04-11 18:53:00,1
2019-04-11 18:54:00,1
2019-04-11 18:57:00,2
2019-04-11 18:59:00,1
2019-04-11 19:12:00,1
2019-04-11 19:14:00,1
2019-04-11 19:16:00,1
2019-04-11 19:22:00,1
2019-04-11 19:24:00,1
2019-04-11 19:26:00,1
2019-04-11 19:31:00,1
2019-04-11 19:35:00,1
2019-04-11 19:38:00,1
2019-04-11 19:42:00,1
2019-04-11 19:43:00,1
2019-04-11 19:45:00,1
2019-04-11 19:46:00,1
2019-04-11 19:51:00,1
2019-04-11 19:54:00,1
2019-04-11 19:56:00,1
2019-04-11 19:59:00,1
2019-04-11 20:05:00,1
2019-04-11 20:06:00,1
2019-04-11 20:08:00,1
2019-04-11 20:11:00,1
2019-04-11 20:12:00,1
2019-04-11 20:13:00,1
2019-04-11 20:21:00,1
2019-04-11 20:25:00,1
2019-04-11 20:26:00,1
2019-04-11 20:28:00,1
2019-04-11 21:44:00,1
2019-04-11 21:45:00,1
2019-04-11 21:49:00,1
2019-04-11 21:53:00,1
2019-04-11 21:54:00,1
2019-04-11 21:58:00,1
2019-04-11 21:59:00,1
2019-04-11 22:02:00,1
2019-04-11 22:04:00,1
2019-04-11 22:09:00,1
2019-04-11 22:12:00,1
2019-04-11 22:20:00,1
2019-04-11 22:21:00,1
2019-04-11 22:23:00,1
2019-04-11 22:25:00,1
2019-04-11 22:27:00,1
2019-04-11 22:28:00,1
2019-04-11 22:32:00,1
2019-04-11 22:36:00,1
2019-04-11 22:37:00,1
2019-04-11 22:41:00,1
2019-04-11 22:48:00,1
2019-04-11 22:49:00,1
2019-04-11 22:50:00,1
2019-04-11 22:52:00,1
2019-04-11 22:58:00,1
2019-04-11 22:59:00,1
2019-04-11 23:06:00,1
2019-04-11 23:10:00,1
2019-04-11 23:22:00,1
2019-04-11 23:23:00,1
2019-04-11 23:27:00,1
2019-04-11 23:29:00,1
2019-04-11 23:38:00,1
2019-04-11 23:39:00,1
2019-04-11 23:49:00,1
2019-04-12 00:02:00,1
2019-04-12 00:04:00,2
2019-04-12 00:12:00,1
2019-04-12 00:14:00,1
2019-04-12 00:21:00,1
2019-04-12 00:22:00,1
2019-04-12 00:24:00,1
2019-04-12 00:26:00,1
2019-04-12 00:30:00,1
2019-04-12 00:33:00,1
2019-04-12 00:35:00,1
2019-04-12 01:46:00,1
2019-04-12 01:48:00,1
2019-04-12 01:52:00,1
2019-04-12 01:56:00,1
2019-04-12 01:59:00,1
2019-04-12 02:00:00,1
2019-04-12 02:03:00,1
2019-04-12 02:09:00,1
2019-04-12 02:13:00,1
2019-04-12 02:15:00,1
2019-04-12 02:20:00,1
2019-04-12 02:23:00,1
2019-04-12 02:32:00,1
2019-04-12 02:36:00,1
2019-04-12 02:37:00,1
2019-04-12 02:38:00,1
2019-04-12 02:40:00,2
2019-04-12 02:41:00,1
2019-04-12 02:44:00,1
2019-04-12 02:45:00,1
2019-04-12 02:46:00,1
2019-04-12 02:48:00,2
2019-04-12 02:50:00,1
2019-04-12 02:52:00,1
2019-04-12 02:54:00,1
2019-04-12 02:56:00,1
2019-04-12 02:57:00,1
2019-04-12 02:58:00,1
2019-04-12 02:59:00,1
2019-04-12 03:03:00,1
2019-04-12 03:06:00,1
2019-04-12 03:09:00,1
2019-04-12 03:12:00,1
2019-04-12 03:14:00,2
2019-04-12 03:15:00,1
2019-04-12 03:18:00,2
2019-04-12 03:24:00,1
2019-04-12 03:28:00,1
2019-04-12 03:30:00,2
2019-04-12 03:31:00,1
2019-04-12 03:33:00,1
2019-04-12 03:34:00,1
2019-04-12 03:40:00,1
2019-04-12 03:48:00,1
2019-04-12 03:49:00,1
2019-04-12 03:50:00,1
2019-04-12 03:53:00,1
2019-04-12 04:00:00,1
2019-04-12 04:05:00,1
2019-04-12 04:06:00,1
2019-04-12 04:08:00,1
2019-04-12 04:10:00,1
2019-04-12 04:11:00,1
2019-04-12 04:12:00,1
2019-04-12 04:15:00,1
2019-04-12 04:23:00,1
2019-04-12 04:25:00,1
2019-04-12 04:27:00,1
2019-04-12 04:29:00,1
2019-04-12 04:31:00,1
2019-04-12 04:38:00,1
2019-04-12 04:43:00,1
2019-04-12 04:44:00,1
2019-04-12 04:51:00,2
2019-04-12 04:55:00,1
2019-04-12 04:58:00,1
2019-04-12 05:05:00,1
2019-04-12 05:07:00,1
2019-04-12 05:08:00,1
2019-04-12 05:10:00,1
2019-04-12 05:13:00,1
2019-04-12 05:19:00,1
2019-04-12 05:21:00,1
2019-04-12 05:23:00,1
2019-04-12 05:24:00,1
2019-04-12 05:25:00,1
2019-04-12 05:27:00,1
2019-04-12 05:32:00,1
2019-04-12 05:34:00,1
2019-04-12 05:36:00,1
2019-04-12 05:45:00,1
2019-04-12 05:49:00,2
2019-04-12 05:52:00,1
2019-04-12 05:54:00,1
2019-04-12 05:57:00,1
2019-04-12 05:59:00,1
2019-04-12 06:01:00,1
2019-04-12 06:03:00,1
2019-04-12 06:07:00,1
2019-04-12 06:11:00,1
2019-04-12 06:14:00,1
2019-04-12 06:50:00,1
2019-04-12 06:52:00,1
2019-04-12 06:56:00,1
2019-04-12 06:59:00,1
2019-04-12 07:08:00,1
2019-04-12 07:13:00,1
2019-04-12 07:16:00,1
2019-04-12 07:17:00,1
2019-04-12 07:19:00,1
2019-04-12 07:38:00,1
2019-04-12 07:48:00,1
2019-04-12 07:54:00,1
2019-04-12 07:55:00,1
2019-04-12 07:56:00,1
2019-04-12 07:59:00,1
2019-04-12 08:01:00,1
2019-04-12 08:03:00,1
2019-04-12 08:06:00,1
2019-04-12 08:07:00,1
2019-04-12 08:08:00,1
2019-04-12 08:10:00,1
2019-04-12 08:12:00,1
2019-04-12 08:17:00,1
2019-04-12 08:18:00,1
2019-04-12 08:20:00,1
2019-04-12 08:24:00,1
2019-04-12 08:26:00,1
2019-04-12 08:28:00,1
2019-04-12 08:38:00,1
2019-04-12 08:42:00,2
2019-04-12 08:44:00,1
2019-04-12 08:47:00,1
2019-04-12 08:50:00,1
2019-04-12 08:51:00,1
2019-04-12 09:08:00,1
2019-04-12 09:10:00,1
2019-04-12 09:15:00,2
2019-04-12 09:17:00,1
2019-04-12 09:18:00,1
2019-04-12 09:19:00,1
2019-04-12 09:21:00,1
2019-04-12 09:24:00,2
2019-04-12 09:26:00,1
2019-04-12 09:29:00,1
2019-04-12 09:31:00,1
2019-04-12 09:33:00,1
2019-04-12 09:35:00,1
2019-04-12 09:46:00,2
2019-04-12 09:48:00,1
2019-04-12 09:50:00,1
2019-04-12 09:53:00,1
2019-04-12 09:55:00,1
2019-04-12 09:57:00,2
2019-04-12 10:04:00,1
2019-04-12 10:05:00,1
2019-04-12 10:06:00,1
2019-04-12 10:09:00,1
2019-04-12 10:11:00,1
2019-04-12 10:13:00,2
2019-04-12 10:16:00,1
2019-04-12 10:17:00,1
2019-04-12 10:20:00,1
2019-04-12 10:22:00,1
2019-04-12 10:25:00,1
2019-04-12 10:28:00,1
2019-04-12 10:29:00,1
2019-04-12 10:33:00,1
2019-04-12 10:37:00,1
2019-04-12 10:39:00,1
2019-04-12 10:40:00,1
2019-04-12 10:41:00,1
2019-04-12 10:47:00,1
2019-04-12 10:58:00,1
2019-04-12 11:03:00,1
