747,"select ra, dec, psfMag_u, psfmagerr_u, psfMag_g, psfMagerr_g, psfMag_r, psfMagerr_r, psfMag_i, psfMagerr_i, psfMag_z, psfMagerr_z from PhotoPrimary where ra between # and # and dec between # and # and psfMag_r< #"
2019-01-08 19:40:00,6
2019-01-08 20:35:00,6
2019-01-08 23:25:00,12
2019-01-08 23:41:00,3
2019-01-08 23:57:00,15
2019-01-08 23:58:00,6
2019-01-09 00:12:00,10
2019-01-09 00:13:00,3
2019-01-09 01:45:00,7
2019-01-09 01:46:00,1
2019-01-09 01:47:00,54
2019-01-09 01:48:00,5
2019-01-09 04:31:00,3
2019-01-09 04:32:00,2
2019-01-09 04:33:00,3
2019-01-09 04:34:00,3
2019-01-09 04:35:00,4
2019-01-09 04:36:00,2
2019-01-09 04:37:00,3
2019-01-09 04:38:00,3
2019-01-09 04:39:00,2
2019-01-09 16:38:00,4
2019-01-09 16:39:00,4
2019-01-09 16:40:00,4
2019-01-09 16:41:00,3
2019-01-09 16:42:00,4
2019-01-09 16:43:00,2
2019-01-09 16:49:00,3
2019-01-09 16:50:00,4
2019-01-09 16:51:00,3
2019-01-09 16:52:00,2
2019-01-10 20:53:00,6
2019-01-10 20:54:00,6
2019-01-10 21:05:00,5
2019-01-10 21:19:00,5
2019-01-10 21:20:00,4
2019-01-12 01:03:00,50
2019-01-12 20:08:00,5
2019-01-12 21:08:00,18
2019-01-14 10:02:00,1
2019-01-14 16:06:00,4
2019-01-14 16:07:00,13
2019-01-14 16:08:00,2
2019-01-14 19:17:00,4
2019-01-14 19:18:00,19
2019-01-14 19:20:00,7
2019-01-14 19:29:00,14
2019-01-21 08:55:00,2
2019-01-23 17:54:00,4
2019-01-23 17:55:00,2
2019-01-24 10:00:00,1
2019-01-24 10:57:00,4
2019-01-24 15:36:00,2
2019-02-05 15:09:00,3
2019-02-05 15:10:00,5
2019-02-06 10:53:00,2
2019-02-20 10:37:00,2
2019-02-21 09:51:00,2
2019-02-21 10:00:00,6
2019-02-21 10:01:00,3
2019-02-21 10:07:00,3
2019-02-21 10:26:00,2
2019-02-27 10:47:00,4
2019-03-11 10:55:00,2
2019-03-19 13:41:00,2
2019-03-27 13:56:00,4
2019-03-27 13:58:00,4
2019-04-02 19:47:00,2
2019-04-03 11:05:00,4
2019-04-03 11:15:00,4
2019-04-09 09:29:00,2
2019-04-12 20:52:00,14
2019-04-13 19:54:00,5
2019-04-13 20:13:00,10
2019-04-15 14:04:00,15
2019-04-20 02:58:00,9
2019-04-20 02:59:00,15
2019-04-21 01:46:00,3
2019-04-21 01:47:00,4
2019-04-23 21:13:00,2
2019-04-26 18:00:00,5
2019-04-27 23:10:00,1
2019-04-29 07:29:00,4
2019-05-01 02:45:00,17
2019-05-01 02:46:00,2
2019-05-01 02:47:00,4
2019-05-01 02:48:00,17
2019-05-01 02:49:00,12
2019-05-09 18:54:00,34
2019-05-13 09:57:00,3
2019-05-13 12:24:00,1
2019-05-15 08:41:00,1
2019-05-15 08:42:00,1
2019-05-16 16:36:00,5
2019-05-25 20:21:00,1
2019-05-25 20:25:00,2
2019-05-25 20:29:00,1
2019-05-25 20:36:00,1
2019-05-29 08:43:00,4
2019-05-29 09:01:00,3
2019-05-31 09:33:00,3
2019-06-12 20:39:00,11
2019-06-12 20:40:00,44
2019-06-12 20:41:00,21
2019-06-19 10:07:00,2
2019-07-15 13:28:00,25
2019-07-15 13:30:00,4
2019-07-23 17:33:00,8
2019-07-23 17:34:00,3
2019-08-07 13:55:00,5
2019-12-10 16:11:00,1
2019-12-10 16:13:00,2
2019-12-10 16:16:00,2
