36,"SELECT TOP # p.objid, p.ra, p.dec, p.petror9#_r, p.dered_g, p.dered_r, s.z as z_spec, s.zErr, zns.nvote, zns.p_el as elliptical, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock, zns.p_edge as edgeon, zns.p_dk as dontknow, zns.p_mg as merger FROM Galaxy as p JOIN ZooNoSpec AS zns ON p.objid = zns.objid JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.clean = # and zns.nvote > = # and zns.p_acw > #"
2019-02-21 17:09:00,1
2019-02-21 17:14:00,2
2019-02-21 17:17:00,1
2019-02-21 17:18:00,1
2019-02-21 17:23:00,1
2019-02-25 15:23:00,2
2019-02-25 15:24:00,1
2019-02-26 15:24:00,1
2019-02-27 16:09:00,1
2019-02-27 16:18:00,1
2019-02-27 16:59:00,1
2019-02-27 17:31:00,1
2019-02-27 17:36:00,1
2019-02-27 17:37:00,1
2019-02-27 17:44:00,2
2019-02-27 17:45:00,1
2019-02-27 17:52:00,1
2019-03-19 15:40:00,1
2019-04-02 14:04:00,2
2019-04-03 15:26:00,1
2019-04-04 11:57:00,1
2019-04-11 17:21:00,2
2019-04-11 17:22:00,3
2019-04-11 17:26:00,1
2019-04-11 17:29:00,2
2019-04-25 13:43:00,1
2019-04-25 17:10:00,1
2019-04-25 17:18:00,1
