3271,"SELECT p.ra, p.dec, p.psfmag_g, f.mjd_g, p.psfmag_u, p.psfmag_r, p.psfmag_i, p.psfmag_z, n.distance*# FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p, Field f WHERE n.objID = p.objID and f.fieldID = p.fieldID"
2019-11-19 20:11:00,10
2019-11-19 20:12:00,10
2019-11-19 20:16:00,1
2019-11-19 20:17:00,2
2019-11-19 20:18:00,1
2019-11-19 20:20:00,1
2019-11-19 20:21:00,2
2019-11-19 20:24:00,11
2019-11-19 20:25:00,24
2019-11-19 20:26:00,10
2019-11-19 20:27:00,1
2019-11-19 20:28:00,38
2019-11-19 20:29:00,38
2019-11-19 20:30:00,38
2019-11-19 20:31:00,39
2019-11-19 20:32:00,37
2019-11-19 20:33:00,1
2019-11-19 20:34:00,29
2019-11-19 20:35:00,17
2019-11-19 20:36:00,8
2019-11-19 20:42:00,10
2019-11-19 20:43:00,43
2019-11-19 20:44:00,44
2019-11-19 20:45:00,45
2019-11-19 20:46:00,41
2019-11-19 20:47:00,41
2019-11-19 20:48:00,39
2019-11-19 20:49:00,40
2019-11-19 20:50:00,40
2019-11-19 20:51:00,41
2019-11-19 20:52:00,39
2019-11-19 20:53:00,39
2019-11-19 20:54:00,37
2019-11-19 20:55:00,42
2019-11-19 20:56:00,39
2019-11-19 20:57:00,38
2019-11-19 20:58:00,39
2019-11-19 20:59:00,21
2019-11-19 21:00:00,34
2019-11-19 21:01:00,38
2019-11-19 21:02:00,68
2019-11-19 21:03:00,64
2019-11-19 21:04:00,36
2019-11-19 21:05:00,47
2019-11-19 21:06:00,38
2019-11-19 21:07:00,36
2019-11-19 21:08:00,24
2019-11-19 21:11:00,28
2019-11-19 21:12:00,42
2019-11-19 21:13:00,44
2019-11-19 21:14:00,5
2019-11-19 21:15:00,10
2019-11-19 21:18:00,10
2019-11-19 21:19:00,16
2019-11-19 21:20:00,22
2019-11-19 21:22:00,12
2019-11-19 21:23:00,9
2019-11-19 21:24:00,22
2019-11-19 21:26:00,26
2019-11-19 21:27:00,10
2019-11-19 21:28:00,29
2019-11-19 21:29:00,20
2019-11-19 21:30:00,24
2019-11-19 21:31:00,21
2019-11-19 21:32:00,9
2019-11-19 21:33:00,19
2019-11-19 21:34:00,37
2019-11-19 21:35:00,56
2019-11-19 21:36:00,26
2019-11-19 21:37:00,39
2019-11-19 21:38:00,45
2019-11-19 21:39:00,17
2019-11-19 21:41:00,7
2019-11-19 21:42:00,32
2019-11-19 21:43:00,5
2019-11-19 21:45:00,12
2019-11-19 21:46:00,25
2019-11-19 21:47:00,56
2019-11-19 21:48:00,66
2019-11-19 21:49:00,52
2019-11-19 21:50:00,55
2019-11-19 21:51:00,55
2019-11-19 21:52:00,55
2019-11-19 21:53:00,60
2019-11-19 21:54:00,60
2019-11-19 21:55:00,69
2019-11-19 21:56:00,62
2019-11-19 21:57:00,63
2019-11-19 21:58:00,37
2019-11-19 21:59:00,23
2019-11-19 22:00:00,23
2019-11-19 22:01:00,23
2019-11-19 22:02:00,23
2019-11-19 22:03:00,22
2019-11-19 22:04:00,23
2019-11-19 22:05:00,24
2019-11-19 22:06:00,24
2019-11-19 22:07:00,22
2019-11-19 22:08:00,24
2019-11-19 22:09:00,18
2019-11-19 22:10:00,18
2019-11-19 22:11:00,2
2019-11-19 22:16:00,15
2019-11-19 22:17:00,12
2019-11-19 22:18:00,34
2019-11-19 22:19:00,32
2019-11-19 22:20:00,32
2019-11-19 22:21:00,32
2019-11-19 22:22:00,8
2019-11-19 22:23:00,40
2019-11-19 22:24:00,42
2019-11-19 22:25:00,3
2019-11-19 22:31:00,1
2019-11-27 00:18:00,1
