31,"select top # p.objid as name, p.ra, p.dec from photoobj p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-01-07 17:42:00,1
2019-01-07 18:03:00,1
2019-01-18 23:15:00,2
2019-01-18 23:16:00,1
2019-01-28 14:51:00,1
2019-02-25 08:00:00,1
2019-03-25 02:52:00,1
2019-07-04 08:22:00,1
2019-07-04 08:27:00,1
2019-07-04 11:36:00,1
2019-07-04 11:38:00,1
2019-07-04 11:41:00,1
2019-07-04 11:54:00,1
2019-07-04 11:56:00,1
2019-07-09 06:13:00,1
2019-07-09 06:16:00,1
2019-07-30 12:10:00,1
2019-07-31 08:40:00,1
2019-08-01 03:36:00,1
2019-08-01 03:37:00,1
2019-10-14 21:10:00,1
2019-10-17 08:45:00,1
2019-10-28 20:56:00,1
2019-10-28 20:59:00,1
2019-11-07 00:18:00,1
2019-11-19 21:47:00,1
2019-11-19 23:05:00,1
2019-11-19 23:34:00,1
2019-12-08 07:21:00,1
2019-12-25 15:44:00,1
