2,"SELECT TOP # objid, ra, dec, r, err_r, extinction_r, z, zErr FROM Galaxy WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND z BETWEEN # AND #"
2019-04-03 08:56:00,1
2019-04-03 08:57:00,1
