17,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj, IS# (s.plate, #) as plate, IS# (s.mjd, #) as mjd, IS# (s.fiberid, #) as fiberid FROM ..PhotoObj AS p LEFT OUTER JOIN ..SpecObj s ON p.objID = s.bestObjID JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-02-05 19:42:00,1
2019-02-09 20:15:00,1
2019-02-24 14:34:00,1
2019-02-24 14:40:00,1
2019-03-01 11:07:00,1
2019-03-01 11:08:00,1
2019-03-01 11:11:00,1
2019-03-29 14:17:00,1
2019-04-15 18:59:00,1
2019-04-17 02:10:00,1
2019-04-22 21:02:00,1
2019-06-11 14:22:00,1
2019-09-24 08:50:00,1
2019-09-24 08:51:00,1
2019-09-25 15:40:00,1
2019-10-05 08:38:00,1
2019-10-05 08:39:00,1
