2,"SELECT top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift FROM photoObj p JOIN specObj s ON s.bestobjid = p.objid WHERE p.u < #"
2019-03-07 20:45:00,1
2019-03-07 20:49:00,1
