155,select @@servername
2019-01-02 18:35:00,1
2019-01-07 08:26:00,1
2019-02-06 14:32:00,1
2019-03-05 16:22:00,1
2019-03-21 17:00:00,1
2019-03-21 17:04:00,1
2019-03-26 13:19:00,3
2019-03-26 13:20:00,1
2019-03-26 13:21:00,1
2019-03-26 13:24:00,3
2019-03-26 13:32:00,1
2019-03-26 13:33:00,6
2019-03-26 13:34:00,1
2019-03-26 13:35:00,1
2019-03-26 13:36:00,3
2019-03-26 13:37:00,2
2019-03-26 13:38:00,3
2019-03-26 13:41:00,2
2019-03-26 13:48:00,2
2019-03-26 13:50:00,1
2019-03-26 13:55:00,2
2019-03-29 13:07:00,2
2019-03-29 13:29:00,1
2019-03-29 13:54:00,1
2019-04-01 20:42:00,2
2019-04-01 20:44:00,1
2019-04-01 21:12:00,1
2019-04-17 13:52:00,1
2019-04-23 10:05:00,1
2019-04-23 10:08:00,1
2019-04-23 10:09:00,1
2019-04-23 10:12:00,1
2019-04-23 10:15:00,1
2019-04-23 10:45:00,1
2019-04-23 10:46:00,2
2019-04-23 10:47:00,1
2019-04-23 10:49:00,1
2019-04-23 11:18:00,2
2019-05-02 14:16:00,1
2019-05-02 14:17:00,1
2019-05-07 17:37:00,3
2019-05-07 17:38:00,1
2019-05-07 17:39:00,1
2019-05-07 17:40:00,1
2019-05-07 17:45:00,1
2019-05-28 11:59:00,1
2019-05-30 16:30:00,1
2019-05-30 20:18:00,1
2019-05-30 20:19:00,2
2019-05-31 17:57:00,1
2019-05-31 18:01:00,2
2019-05-31 18:07:00,1
2019-05-31 18:15:00,1
2019-05-31 18:28:00,1
2019-06-10 20:51:00,1
2019-06-10 20:54:00,1
2019-06-11 15:54:00,1
2019-06-11 18:13:00,1
2019-06-11 18:19:00,1
2019-06-11 18:20:00,1
2019-06-11 18:31:00,1
2019-06-11 18:32:00,1
2019-06-11 18:43:00,1
2019-06-11 18:52:00,1
2019-06-11 18:55:00,2
2019-06-11 19:27:00,1
2019-06-13 10:08:00,2
2019-06-13 10:13:00,1
2019-06-13 14:09:00,1
2019-06-14 16:28:00,1
2019-06-19 16:40:00,1
2019-06-19 16:44:00,2
2019-06-19 17:00:00,1
2019-07-08 15:26:00,1
2019-07-09 14:55:00,1
2019-07-09 14:56:00,1
2019-07-12 12:18:00,1
2019-08-01 16:06:00,1
2019-08-28 16:17:00,1
2019-09-04 13:15:00,1
2019-09-05 14:37:00,1
2019-09-05 14:55:00,1
2019-09-05 14:59:00,1
2019-09-27 10:22:00,1
2019-09-27 13:18:00,1
2019-10-21 19:46:00,1
2019-10-29 13:04:00,1
2019-10-29 14:55:00,1
2019-10-30 11:47:00,1
2019-10-31 17:20:00,1
2019-10-31 17:23:00,1
2019-11-05 15:13:00,1
2019-11-11 10:12:00,1
2019-11-13 17:16:00,1
2019-11-15 12:05:00,1
2019-11-20 15:02:00,1
2019-11-24 01:59:00,1
2019-12-03 15:03:00,1
2019-12-04 19:22:00,1
2019-12-04 19:23:00,5
2019-12-04 19:24:00,5
2019-12-04 19:25:00,2
2019-12-05 20:31:00,1
2019-12-07 16:14:00,1
2019-12-09 01:39:00,1
2019-12-09 03:41:00,1
2019-12-09 15:39:00,1
2019-12-09 15:44:00,2
2019-12-09 16:07:00,1
2019-12-09 16:13:00,1
2019-12-13 11:24:00,1
2019-12-13 11:26:00,1
2019-12-13 16:51:00,1
2019-12-13 16:53:00,2
2019-12-19 18:54:00,1
2019-12-30 16:24:00,1
