94,"SELECT za.specObjID, za.bestObjID, za.class, za.subClass, za.z, za.zErr, po.objID, po.type, po.flags, po.ra, po.dec, po.petroMag_r - po.extinction_r, zp.z AS zphot, zp.zErr AS dzphot, zi.e_bv_sfd, zi.primtarget, zi.sectarget, zi.targettype, zi.spectrotype, zi.subclass FROM SpecObjAll za JOIN PhotoObjAll po ON (po.objID = za.bestObjID) JOIN Photoz zp ON (zp.objID = za.bestObjID) JOIN galSpecInfo zi ON (zi.SpecObjID = za.specObjID) WHERE za.z > # and za.zWarning = # AND za.targetType = # AND za.survey = # AND za.class = # AND zi.primtarget > = # AND po.clean = # AND po.insideMask = # AND po.petroMag_r - po.extinction_r < = #"
2019-01-02 05:31:00,1
2019-01-02 05:42:00,1
2019-01-02 05:47:00,1
2019-01-02 08:18:00,1
2019-01-02 09:37:00,1
2019-01-02 13:01:00,1
2019-01-02 17:47:00,1
2019-01-30 05:58:00,1
2019-02-01 19:09:00,1
2019-02-01 20:07:00,1
2019-02-02 09:04:00,1
2019-02-03 08:47:00,1
2019-02-04 08:45:00,1
2019-02-06 09:19:00,1
2019-02-07 09:28:00,1
2019-02-11 08:35:00,1
2019-02-12 15:11:00,1
2019-02-13 09:37:00,1
2019-02-19 13:30:00,1
2019-02-19 13:39:00,1
2019-02-19 14:39:00,1
2019-02-19 14:41:00,1
2019-02-19 16:46:00,1
2019-02-19 16:48:00,1
2019-02-19 17:30:00,1
2019-02-19 18:13:00,1
2019-02-19 20:39:00,1
2019-02-19 20:45:00,1
2019-02-19 20:54:00,1
2019-02-19 20:57:00,1
2019-02-19 21:01:00,1
2019-02-19 21:05:00,1
2019-02-19 21:23:00,1
2019-02-19 22:10:00,1
2019-02-19 22:13:00,1
2019-02-19 22:21:00,1
2019-02-19 22:24:00,1
2019-02-19 22:25:00,1
2019-02-20 04:36:00,1
2019-02-20 04:37:00,2
2019-02-20 04:40:00,1
2019-02-20 04:50:00,1
2019-02-20 04:57:00,1
2019-02-20 05:01:00,1
2019-02-20 05:03:00,1
2019-02-20 05:04:00,1
2019-02-20 06:27:00,1
2019-02-20 06:28:00,1
2019-02-20 06:30:00,1
2019-02-20 07:37:00,1
2019-02-20 08:42:00,1
2019-02-20 10:55:00,1
2019-02-20 16:32:00,2
2019-02-20 19:15:00,2
2019-02-21 05:10:00,1
2019-02-21 13:59:00,1
2019-02-22 05:10:00,1
2019-02-22 12:08:00,1
2019-02-23 04:30:00,1
2019-02-23 04:34:00,1
2019-02-23 05:00:00,1
2019-02-25 05:44:00,1
2019-02-25 19:40:00,1
2019-02-26 09:50:00,1
2019-02-26 12:30:00,1
2019-02-27 12:00:00,1
2019-02-27 12:09:00,1
2019-02-28 13:55:00,1
2019-03-01 04:24:00,1
2019-03-02 10:43:00,1
2019-03-03 08:10:00,1
2019-03-04 05:21:00,1
2019-03-05 09:20:00,1
2019-03-06 15:00:00,1
2019-03-07 04:32:00,1
2019-03-07 15:39:00,1
2019-03-08 04:48:00,1
2019-03-09 12:00:00,1
2019-03-11 09:15:00,1
2019-03-12 09:19:00,1
2019-03-13 06:08:00,1
2019-03-13 06:16:00,1
2019-03-14 14:59:00,1
2019-03-15 05:05:00,1
2019-03-17 09:53:00,1
2019-03-18 04:43:00,1
2019-03-19 05:09:00,1
2019-03-20 05:18:00,1
2019-03-20 05:26:00,1
2019-03-28 08:54:00,1
2019-04-05 07:29:00,1
