24,select top # * from [test_#]
2019-02-25 02:22:00,1
2019-03-03 10:33:00,1
2019-03-05 10:23:00,1
2019-03-05 10:26:00,1
2019-03-05 10:28:00,2
2019-03-05 10:44:00,1
2019-03-05 10:45:00,2
2019-03-05 10:49:00,2
2019-03-05 10:57:00,1
2019-03-05 11:32:00,1
2019-03-06 04:32:00,1
2019-03-09 03:53:00,1
2019-03-09 04:11:00,1
2019-03-09 04:18:00,1
2019-03-10 01:07:00,1
2019-03-15 15:36:00,1
2019-03-15 15:37:00,1
2019-07-13 10:58:00,1
2019-07-17 03:33:00,1
2019-08-29 11:48:00,1
2019-09-17 12:10:00,1
