146,"SELECT ra, dec, u, g, r, i, z, Err_u, Err_g, Err_r, Err_i, Err_z FROM BestDR1#..Star WHERE ( ((ra BETWEEN # AND #) AND (dec BETWEEN # AND #) ) AND (Err_u < # and Err_g < # and Err_r < # and Err_i < #) )"
2019-04-11 03:18:00,1
2019-04-11 03:19:00,1
2019-04-11 03:21:00,1
2019-04-11 03:22:00,1
2019-04-11 03:23:00,1
2019-04-11 03:30:00,1
2019-04-11 05:08:00,1
2019-04-11 05:10:00,2
2019-04-11 05:11:00,4
2019-04-11 05:15:00,1
2019-04-11 05:18:00,2
2019-04-11 05:19:00,1
2019-04-11 05:40:00,1
2019-04-11 05:41:00,3
2019-04-11 05:42:00,2
2019-04-11 05:43:00,3
2019-04-11 05:44:00,3
2019-04-11 05:45:00,2
2019-04-11 05:46:00,3
2019-04-11 05:47:00,1
2019-04-11 06:07:00,2
2019-04-11 06:08:00,2
2019-04-11 06:09:00,3
2019-04-11 06:10:00,2
2019-04-11 06:11:00,2
2019-04-11 06:12:00,2
2019-04-11 06:13:00,3
2019-04-11 06:14:00,3
2019-04-11 06:15:00,2
2019-04-11 06:16:00,3
2019-04-11 06:17:00,3
2019-04-11 06:18:00,2
2019-04-11 06:19:00,2
2019-04-11 06:21:00,2
2019-04-11 06:22:00,2
2019-04-11 06:23:00,3
2019-04-11 06:24:00,2
2019-04-11 06:25:00,2
2019-04-11 06:26:00,2
2019-04-11 06:27:00,1
2019-04-11 06:30:00,1
2019-04-11 08:13:00,2
2019-04-11 08:14:00,1
2019-04-11 08:16:00,2
2019-04-11 08:17:00,2
2019-04-11 08:18:00,2
2019-04-11 08:19:00,2
2019-04-11 08:20:00,2
2019-04-11 08:21:00,2
2019-04-11 08:22:00,2
2019-04-11 08:23:00,2
2019-04-11 08:24:00,2
2019-04-11 08:25:00,2
2019-04-11 08:26:00,2
2019-04-11 08:27:00,3
2019-04-11 08:28:00,2
2019-04-11 08:29:00,3
2019-04-11 08:30:00,1
2019-04-11 08:45:00,1
2019-04-11 08:46:00,2
2019-04-11 08:47:00,2
2019-04-11 08:48:00,3
2019-04-11 08:49:00,2
2019-04-11 08:50:00,2
2019-04-11 08:51:00,3
2019-04-11 08:52:00,1
2019-04-11 08:53:00,2
2019-04-11 08:54:00,2
2019-04-11 08:55:00,2
2019-04-11 08:56:00,3
2019-04-11 08:57:00,1
2019-04-11 08:58:00,1
2019-04-11 08:59:00,2
2019-04-12 06:35:00,1
2019-06-25 05:30:00,1
