51,"select mjd, plate from plateX where plate < = # order by mjd"
2019-02-13 15:51:00,1
2019-02-13 15:52:00,1
2019-02-13 16:05:00,1
2019-02-13 16:12:00,1
2019-02-13 16:13:00,1
2019-02-13 16:17:00,1
2019-02-13 16:23:00,1
2019-02-21 21:42:00,1
2019-02-21 22:04:00,1
2019-02-22 13:45:00,1
2019-03-03 17:28:00,1
2019-03-11 10:45:00,1
2019-03-11 11:06:00,1
2019-03-21 19:36:00,1
2019-03-22 19:31:00,1
2019-03-22 20:42:00,1
2019-03-27 16:24:00,2
2019-04-09 17:15:00,1
2019-04-17 01:06:00,1
2019-05-10 10:44:00,1
2019-05-10 10:46:00,1
2019-05-27 11:05:00,1
2019-06-03 19:51:00,1
2019-06-08 17:44:00,1
2019-06-16 04:51:00,1
2019-06-16 04:52:00,1
2019-06-20 08:44:00,1
2019-06-21 18:30:00,1
2019-07-12 19:24:00,1
2019-07-18 03:51:00,1
2019-07-22 12:39:00,1
2019-07-24 06:35:00,1
2019-07-24 06:36:00,1
2019-08-19 06:24:00,1
2019-08-20 14:47:00,1
2019-08-23 00:04:00,1
2019-09-06 09:17:00,1
2019-09-19 03:37:00,1
2019-09-24 03:21:00,1
2019-09-30 02:05:00,1
2019-10-08 14:50:00,1
2019-11-01 07:15:00,1
2019-11-02 08:14:00,1
2019-11-14 17:27:00,1
2019-11-26 05:20:00,1
2019-11-27 06:49:00,1
2019-11-27 06:50:00,1
2019-11-29 06:08:00,1
2019-12-03 14:10:00,1
2019-12-11 11:31:00,1
