478,"SELECT up_id, dbo.fGetNearestObjIdEq (up_ra, up_dec, up_sep) as objId FROM #upload WHERE dbo.fGetNearestObjIdEq (up_ra, up_dec, up_sep) IS NOT # SELECT TOP # p.ra, p.dec, p.run, p.rerun, p.camCol, p.field, p.obj FROM ..PhotoObj AS p JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id WHERE (p.type = # OR p.type = #) ORDER BY x.up_id"
2019-01-02 02:43:00,1
2019-01-04 03:53:00,1
2019-01-04 03:54:00,1
2019-01-07 13:08:00,1
2019-01-07 13:09:00,4
2019-01-07 13:10:00,3
2019-01-07 13:11:00,3
2019-01-08 04:29:00,1
2019-01-09 02:06:00,1
2019-01-10 18:22:00,3
2019-01-10 18:23:00,2
2019-01-12 15:22:00,1
2019-01-15 09:29:00,1
2019-01-16 03:14:00,1
2019-01-16 07:46:00,1
2019-01-16 07:47:00,3
2019-01-17 02:44:00,1
2019-01-17 02:50:00,1
2019-01-17 02:54:00,1
2019-01-18 22:30:00,1
2019-01-18 22:31:00,1
2019-01-18 23:05:00,2
2019-01-18 23:19:00,1
2019-01-18 23:47:00,1
2019-01-18 23:50:00,1
2019-01-19 00:07:00,1
2019-01-20 09:02:00,1
2019-01-22 03:31:00,1
2019-01-22 12:22:00,1
2019-01-24 19:33:00,1
2019-01-30 18:27:00,1
2019-01-30 18:32:00,1
2019-01-30 18:54:00,3
2019-01-30 22:56:00,2
2019-01-30 22:58:00,2
2019-02-05 10:38:00,1
2019-02-05 10:40:00,1
2019-02-08 02:08:00,1
2019-02-08 02:16:00,1
2019-02-11 14:03:00,1
2019-02-11 14:04:00,1
2019-02-13 18:50:00,1
2019-02-18 10:13:00,1
2019-02-18 10:14:00,1
2019-02-19 00:55:00,2
2019-02-19 00:56:00,1
2019-02-19 01:00:00,1
2019-02-21 10:17:00,1
2019-02-23 07:34:00,1
2019-02-23 07:44:00,1
2019-02-23 07:48:00,1
2019-02-25 20:35:00,1
2019-02-25 20:36:00,1
2019-02-26 19:11:00,1
2019-03-01 10:02:00,1
2019-03-01 16:41:00,3
2019-03-01 17:19:00,2
2019-03-01 17:20:00,1
2019-03-01 19:04:00,1
2019-03-02 04:22:00,1
2019-03-02 14:34:00,1
2019-03-07 20:57:00,1
2019-03-07 21:03:00,1
2019-03-08 11:42:00,2
2019-03-08 13:29:00,1
2019-03-08 13:34:00,1
2019-03-11 17:38:00,4
2019-03-11 17:39:00,2
2019-03-11 17:41:00,1
2019-03-11 23:01:00,1
2019-03-13 00:54:00,1
2019-03-15 23:48:00,1
2019-03-18 09:19:00,1
2019-03-18 09:36:00,1
2019-03-18 09:37:00,1
2019-03-19 18:20:00,1
2019-03-23 15:55:00,1
2019-03-26 01:35:00,1
2019-03-26 01:46:00,1
2019-03-26 01:47:00,4
2019-03-26 01:48:00,1
2019-03-26 13:59:00,1
2019-03-26 14:05:00,3
2019-03-26 14:06:00,2
2019-03-28 00:12:00,1
2019-03-28 00:15:00,1
2019-03-28 00:16:00,1
