22,"SELECT count (SpecObjALL.ra) FROM SpecObjALL, PhotoObjALL WHERE SpecObjALL.bestObjid = PhotoObjALL.objID AND SpecObjALL.class = # AND SpecObjALL.ra > # AND SpecObjALL.ra < # AND SpecObjALL.dec > # AND SpecObjALL.dec < #"
2019-04-08 20:33:00,1
2019-04-08 20:34:00,1
2019-04-08 20:35:00,1
2019-04-08 20:37:00,1
2019-04-08 20:38:00,2
2019-04-08 20:39:00,2
2019-04-08 20:41:00,1
2019-04-08 20:43:00,1
2019-04-08 20:46:00,1
2019-04-08 20:59:00,1
2019-04-08 21:22:00,2
2019-04-09 23:02:00,1
2019-04-09 23:03:00,3
2019-04-09 23:04:00,1
2019-04-09 23:06:00,1
2019-04-09 23:41:00,1
2019-04-09 23:42:00,1
