16,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.camcol, p.field, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = # or p.objid = #"
2019-05-13 10:41:00,1
2019-05-13 10:44:00,1
2019-05-13 10:45:00,1
2019-05-13 10:46:00,2
2019-05-13 10:47:00,1
2019-05-13 10:48:00,2
2019-05-13 10:49:00,2
2019-05-13 10:50:00,2
2019-05-13 10:51:00,3
2019-05-13 10:52:00,1
