35,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.type FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-26 16:33:00,1
2019-02-26 16:34:00,1
2019-02-26 17:14:00,1
2019-02-27 09:17:00,2
2019-02-27 09:18:00,1
2019-02-27 09:20:00,1
2019-02-27 09:21:00,1
2019-02-27 09:23:00,1
2019-02-27 09:25:00,2
2019-02-27 10:49:00,1
2019-03-05 21:13:00,1
2019-03-06 21:21:00,1
2019-03-06 21:24:00,1
2019-03-06 22:02:00,1
2019-03-07 12:03:00,1
2019-03-07 14:56:00,1
2019-03-07 15:15:00,1
2019-03-08 21:11:00,1
2019-03-11 19:52:00,1
2019-03-11 20:01:00,3
2019-03-11 20:09:00,1
2019-03-12 10:11:00,1
2019-03-12 10:16:00,1
2019-03-12 16:10:00,1
2019-03-14 14:11:00,1
2019-03-14 14:12:00,1
2019-03-21 10:45:00,1
2019-03-21 10:48:00,2
2019-03-21 10:50:00,2
