179,"SELECT TOP # a.apogee_id, cast (str (a.glon, #, #) as float) glon, cast (str (a.glat, #, #) as float) glat, a.snr, a.vhelio_avg, a.vscatter, q.teff, q.logg, q.m_h, q.alpha_m FROM apogeeStar as a JOIN dbo.fgetNearbyApogeeStarEq (#, #, #) AS b ON b.apstar_id = a.apstar_id JOIN apogeeObject as o ON a.apogee_id = o.apogee_id JOIN aspcapStar as q ON a.apstar_id = q.apstar_id"
2019-01-01 21:15:00,1
2019-01-04 21:39:00,1
2019-01-05 21:25:00,1
2019-01-08 03:33:00,1
2019-01-08 05:02:00,1
2019-01-10 03:06:00,1
2019-01-13 10:41:00,1
2019-01-17 06:48:00,1
2019-01-23 20:49:00,1
2019-01-27 01:13:00,1
2019-01-30 07:02:00,1
2019-01-31 04:23:00,1
2019-02-05 01:24:00,1
2019-02-06 17:59:00,1
2019-02-08 02:42:00,1
2019-02-08 16:43:00,1
2019-02-09 03:48:00,1
2019-02-10 05:58:00,1
2019-02-10 13:59:00,1
2019-02-17 22:19:00,1
2019-02-21 21:35:00,1
2019-02-23 20:11:00,1
2019-02-26 23:50:00,1
2019-02-28 03:32:00,1
2019-02-28 19:33:00,1
2019-03-01 02:53:00,1
2019-03-01 19:56:00,1
2019-03-06 10:45:00,1
2019-03-09 02:05:00,1
2019-03-10 04:30:00,1
2019-03-11 17:38:00,1
2019-03-17 02:01:00,1
2019-03-17 03:36:00,1
2019-03-26 10:04:00,1
2019-04-01 18:28:00,1
2019-04-04 01:42:00,1
2019-04-04 05:24:00,1
2019-04-05 20:20:00,1
2019-04-09 09:24:00,1
2019-04-09 09:26:00,1
2019-04-09 21:23:00,1
2019-04-18 21:59:00,1
2019-04-20 20:09:00,1
2019-04-21 11:20:00,1
2019-04-23 00:46:00,1
2019-04-24 08:51:00,1
2019-04-27 09:35:00,1
2019-04-28 02:35:00,1
2019-05-03 00:01:00,1
2019-05-03 14:50:00,1
2019-05-12 16:53:00,1
2019-05-13 09:39:00,1
2019-05-13 12:23:00,1
2019-05-24 01:05:00,1
2019-05-24 05:45:00,1
2019-05-24 08:59:00,1
2019-05-25 00:17:00,1
2019-05-25 00:50:00,1
2019-05-29 17:00:00,1
2019-06-02 22:23:00,1
2019-06-03 20:29:00,1
2019-06-05 21:56:00,1
2019-06-08 22:15:00,1
2019-06-15 00:57:00,1
2019-06-25 02:15:00,1
2019-06-25 06:29:00,1
2019-06-27 17:08:00,1
2019-06-28 18:32:00,1
2019-07-02 08:34:00,1
2019-07-04 13:53:00,1
2019-07-07 03:13:00,1
2019-07-18 03:50:00,1
2019-07-20 19:02:00,1
2019-07-22 05:37:00,1
2019-07-22 14:15:00,1
2019-07-23 16:20:00,1
2019-07-25 23:11:00,1
2019-08-05 13:55:00,1
2019-08-12 09:38:00,1
2019-08-13 00:25:00,1
2019-08-16 02:02:00,1
2019-08-16 23:58:00,1
2019-08-23 01:47:00,1
2019-08-25 05:13:00,1
2019-08-26 17:39:00,1
2019-09-01 00:50:00,1
2019-09-01 10:44:00,1
2019-09-04 09:00:00,1
2019-09-06 22:04:00,1
2019-09-13 20:42:00,1
2019-09-15 00:05:00,1
2019-09-17 21:49:00,1
2019-09-19 19:12:00,1
2019-09-20 12:00:00,1
2019-09-21 18:10:00,1
2019-09-22 20:08:00,1
2019-09-23 15:34:00,1
2019-09-24 05:04:00,1
2019-09-24 07:20:00,1
2019-09-24 18:10:00,1
2019-09-29 19:59:00,1
2019-09-30 01:52:00,1
2019-09-30 02:36:00,1
2019-09-30 18:12:00,1
2019-10-01 21:15:00,1
2019-10-07 18:44:00,1
2019-10-12 10:51:00,1
2019-10-13 17:11:00,1
2019-10-14 08:13:00,1
2019-10-16 06:55:00,1
2019-10-19 08:28:00,1
2019-10-20 09:46:00,1
2019-10-21 01:31:00,1
2019-10-21 02:59:00,1
2019-10-22 22:00:00,1
2019-10-23 01:08:00,1
2019-10-24 09:54:00,1
2019-10-26 11:26:00,1
2019-10-27 08:55:00,1
2019-11-02 01:16:00,1
2019-11-04 12:30:00,1
2019-11-05 02:40:00,1
2019-11-09 13:25:00,1
2019-11-15 00:52:00,1
2019-11-17 08:48:00,1
2019-11-21 18:06:00,1
2019-11-21 18:55:00,1
2019-11-21 19:24:00,1
2019-11-21 19:25:00,11
2019-11-21 19:26:00,1
2019-11-21 19:28:00,1
2019-11-21 19:35:00,1
2019-11-21 20:11:00,1
2019-11-22 18:45:00,1
2019-11-24 11:13:00,1
2019-11-28 11:49:00,1
2019-11-30 20:51:00,1
2019-12-01 13:42:00,1
2019-12-04 06:43:00,1
2019-12-05 10:07:00,1
2019-12-05 11:18:00,1
2019-12-06 12:03:00,1
2019-12-06 21:02:00,1
2019-12-06 21:09:00,1
2019-12-07 13:46:00,1
2019-12-08 13:23:00,1
2019-12-10 00:17:00,1
2019-12-10 00:18:00,3
2019-12-10 00:19:00,1
2019-12-10 00:20:00,2
2019-12-10 01:41:00,1
2019-12-11 20:18:00,1
2019-12-12 06:35:00,1
2019-12-12 06:36:00,1
2019-12-12 06:37:00,1
2019-12-13 00:03:00,1
2019-12-15 01:32:00,1
2019-12-18 03:23:00,1
2019-12-18 09:06:00,1
2019-12-19 05:51:00,1
2019-12-20 00:33:00,1
2019-12-20 09:18:00,1
2019-12-22 16:03:00,1
2019-12-26 03:33:00,1
2019-12-27 00:41:00,1
2019-12-27 16:59:00,1
