3,"SELECT TOP # objid, ra, dec, r, err_r, extinction_r, z FROM Galaxy AS g WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND z< #"
2019-04-03 09:25:00,1
2019-04-03 09:26:00,1
2019-04-03 09:33:00,1
