11,"select g, r from photoObj where ra BETWEEN # and # AND dec BETWEEN # and +#"
2019-10-03 19:27:00,1
2019-10-03 19:28:00,2
2019-10-03 19:29:00,1
2019-10-03 23:24:00,1
2019-10-03 23:25:00,2
2019-10-04 10:32:00,1
2019-10-04 11:37:00,1
2019-10-04 11:53:00,2
