42,select * from batch.servers
2019-01-17 16:05:00,1
2019-02-14 18:04:00,2
2019-02-17 15:06:00,1
2019-04-03 14:06:00,1
2019-04-03 14:10:00,1
2019-04-08 12:09:00,1
2019-04-08 12:13:00,1
2019-04-24 11:16:00,1
2019-06-06 12:48:00,1
2019-06-17 16:57:00,1
2019-09-02 16:02:00,2
2019-09-04 13:15:00,1
2019-09-10 16:29:00,1
2019-09-23 18:34:00,1
2019-09-23 18:35:00,1
2019-09-26 12:14:00,2
2019-10-29 13:05:00,1
2019-10-29 16:08:00,1
2019-11-27 16:05:00,1
2019-12-03 16:31:00,1
2019-12-04 10:10:00,1
2019-12-04 10:13:00,3
2019-12-04 10:15:00,1
2019-12-07 12:38:00,1
2019-12-07 12:44:00,1
2019-12-07 17:09:00,1
2019-12-09 13:02:00,1
2019-12-09 14:08:00,1
2019-12-09 14:09:00,2
2019-12-09 14:10:00,2
2019-12-09 14:11:00,1
2019-12-09 14:13:00,1
2019-12-13 11:52:00,1
2019-12-18 17:24:00,1
2019-12-19 14:00:00,1
