412,"SELECT TOP # plateifu, mangaid, objra, objdec, mngtarg1, drp3qual FROM mangadrpall WHERE ( ((mngtarg1 & (power (#, #) +power (#, #) )) ! = #) and ( (drp3qual & power (#, #) ) = #) )"
2019-03-01 10:27:00,1
2019-03-01 17:27:00,1
2019-03-02 21:55:00,1
2019-03-03 05:45:00,1
2019-03-03 06:37:00,1
2019-03-05 18:42:00,1
2019-03-06 17:20:00,1
2019-03-07 09:53:00,1
2019-03-07 11:01:00,1
2019-03-08 10:29:00,1
2019-03-09 01:39:00,1
2019-03-11 17:16:00,1
2019-03-13 08:34:00,1
2019-03-13 08:55:00,1
2019-03-14 02:48:00,1
2019-03-14 17:18:00,1
2019-03-15 01:37:00,1
2019-03-17 05:45:00,1
2019-03-19 09:57:00,1
2019-03-19 17:35:00,2
2019-03-20 21:21:00,1
2019-03-23 04:10:00,1
2019-03-23 21:51:00,1
2019-03-25 00:01:00,1
2019-03-25 10:21:00,1
2019-03-25 13:17:00,1
2019-03-26 05:02:00,1
2019-03-26 12:22:00,1
2019-03-27 19:55:00,1
2019-03-28 20:14:00,1
2019-03-31 18:40:00,1
2019-04-02 13:02:00,1
2019-04-03 09:49:00,1
2019-04-05 11:35:00,1
2019-04-05 15:24:00,1
2019-04-06 13:42:00,1
2019-04-07 15:09:00,1
2019-04-09 02:52:00,1
2019-04-09 15:00:00,1
2019-04-10 12:48:00,2
2019-04-11 05:57:00,1
2019-04-14 10:30:00,1
2019-04-15 20:02:00,1
2019-04-16 03:44:00,1
2019-04-18 17:18:00,1
2019-04-19 00:27:00,1
2019-04-19 18:01:00,1
2019-04-21 00:32:00,1
2019-04-21 09:21:00,1
2019-04-22 12:45:00,1
2019-04-23 05:00:00,1
2019-04-24 07:03:00,1
2019-04-24 17:37:00,1
2019-04-27 11:57:00,1
2019-04-28 05:55:00,1
2019-04-28 11:02:00,1
2019-04-28 12:04:00,1
2019-04-28 13:32:00,1
2019-04-29 03:28:00,1
2019-04-30 06:21:00,1
2019-04-30 06:41:00,1
2019-04-30 11:44:00,1
2019-05-01 14:48:00,1
2019-05-02 05:11:00,1
2019-05-02 10:37:00,1
2019-05-02 23:28:00,1
2019-05-03 07:16:00,1
2019-05-04 01:06:00,1
2019-05-06 19:04:00,1
2019-05-06 20:07:00,1
2019-05-08 02:09:00,1
2019-05-11 11:45:00,1
2019-05-13 09:10:00,1
2019-05-13 10:54:00,1
2019-05-14 01:44:00,1
2019-05-14 05:07:00,1
2019-05-15 11:14:00,1
2019-05-15 19:20:00,1
2019-05-17 12:00:00,1
2019-05-17 18:33:00,1
2019-05-19 13:26:00,1
2019-05-20 03:02:00,1
2019-05-21 06:17:00,1
2019-05-21 13:09:00,1
2019-05-21 20:03:00,1
2019-05-22 19:46:00,1
2019-05-23 04:26:00,1
2019-05-23 05:43:00,1
2019-05-23 09:56:00,1
2019-05-24 00:27:00,1
2019-05-24 23:01:00,1
2019-05-25 00:05:00,1
2019-05-25 00:24:00,1
2019-05-27 12:48:00,1
2019-05-29 03:47:00,1
2019-05-31 00:10:00,1
2019-05-31 01:48:00,1
2019-05-31 04:14:00,1
2019-06-01 05:06:00,1
2019-06-01 16:49:00,1
2019-06-02 06:18:00,1
2019-06-04 15:28:00,1
2019-06-04 17:56:00,1
2019-06-04 17:59:00,1
2019-06-04 18:01:00,1
2019-06-04 20:18:00,1
2019-06-05 12:44:00,1
2019-06-05 13:24:00,1
2019-06-08 13:23:00,1
2019-06-10 00:53:00,1
2019-06-11 02:19:00,1
2019-06-11 16:50:00,1
2019-06-12 05:19:00,1
2019-06-12 13:33:00,1
2019-06-13 10:49:00,1
2019-06-13 17:36:00,1
2019-06-13 21:02:00,1
2019-06-14 09:09:00,1
2019-06-15 00:15:00,1
2019-06-16 07:49:00,1
2019-06-16 23:08:00,1
2019-06-18 19:29:00,1
2019-06-18 19:39:00,1
2019-06-18 19:53:00,1
2019-06-18 20:13:00,1
2019-06-18 20:14:00,1
2019-06-18 20:15:00,1
2019-06-18 20:46:00,2
2019-06-18 22:13:00,1
2019-06-19 01:14:00,1
2019-06-21 07:08:00,1
2019-06-21 07:24:00,1
2019-06-22 01:00:00,1
2019-06-22 06:04:00,1
2019-06-23 06:27:00,1
2019-06-23 06:29:00,1
2019-06-25 07:10:00,1
2019-06-25 12:14:00,1
2019-06-26 00:04:00,1
2019-06-27 11:24:00,1
2019-06-29 17:30:00,1
2019-06-30 17:12:00,1
2019-07-01 11:03:00,1
2019-07-02 16:10:00,1
2019-07-03 08:34:00,1
2019-07-05 22:04:00,1
2019-07-06 07:38:00,1
2019-07-07 02:47:00,1
2019-07-07 22:47:00,1
2019-07-08 17:19:00,1
2019-07-09 15:18:00,1
2019-07-10 08:11:00,1
2019-07-12 01:30:00,1
2019-07-12 12:35:00,1
2019-07-12 13:05:00,1
2019-07-14 06:01:00,1
2019-07-14 18:31:00,1
2019-07-14 20:33:00,1
2019-07-16 03:38:00,1
2019-07-18 12:45:00,1
2019-07-19 00:41:00,1
2019-07-19 15:04:00,1
2019-07-20 01:23:00,1
2019-07-20 03:46:00,1
2019-07-20 04:52:00,1
2019-07-21 01:57:00,1
2019-07-22 01:37:00,1
2019-07-22 02:46:00,1
2019-07-22 12:42:00,1
2019-07-23 15:48:00,1
2019-07-24 10:57:00,1
2019-07-25 05:02:00,1
2019-07-27 08:50:00,1
2019-07-28 01:20:00,1
2019-07-28 21:07:00,1
2019-07-28 22:54:00,1
2019-07-29 06:43:00,1
2019-07-29 07:18:00,1
2019-07-30 11:45:00,1
2019-07-31 02:44:00,1
2019-08-02 04:09:00,1
2019-08-05 00:15:00,1
2019-08-05 01:13:00,1
2019-08-09 06:55:00,1
2019-08-09 08:43:00,1
2019-08-09 11:04:00,1
2019-08-09 18:00:00,1
2019-08-10 22:34:00,1
2019-08-12 21:29:00,1
2019-08-13 06:33:00,1
2019-08-13 17:51:00,1
2019-08-13 19:21:00,1
2019-08-16 03:45:00,1
2019-08-16 15:03:00,1
2019-08-16 15:57:00,1
2019-08-17 02:46:00,1
2019-08-17 23:11:00,1
2019-08-22 06:01:00,1
2019-08-23 07:47:00,1
2019-08-23 14:34:00,1
2019-08-23 16:57:00,1
2019-08-26 10:11:00,1
2019-08-29 21:47:00,1
2019-08-30 13:12:00,1
2019-08-30 17:06:00,1
2019-08-31 10:28:00,1
2019-08-31 19:35:00,1
2019-08-31 21:47:00,1
2019-09-02 12:59:00,1
2019-09-03 20:24:00,1
2019-09-06 10:38:00,1
2019-09-06 10:47:00,1
2019-09-07 11:14:00,1
2019-09-08 09:37:00,1
2019-09-08 12:30:00,1
2019-09-08 18:15:00,1
2019-09-10 20:19:00,1
2019-09-11 19:46:00,1
2019-09-11 23:14:00,1
2019-09-13 10:58:00,1
2019-09-13 11:46:00,1
2019-09-15 06:37:00,1
2019-09-16 11:36:00,1
2019-09-17 14:08:00,1
2019-09-17 18:10:00,1
2019-09-18 12:34:00,1
2019-09-19 00:37:00,1
2019-09-19 03:30:00,1
2019-09-19 18:26:00,1
2019-09-19 19:21:00,1
2019-09-20 07:07:00,1
2019-09-20 11:34:00,1
2019-09-21 07:44:00,1
2019-09-24 00:55:00,1
2019-09-24 08:13:00,1
2019-09-24 08:15:00,1
2019-09-24 12:11:00,1
2019-09-25 07:49:00,1
2019-09-29 19:23:00,1
2019-10-01 23:59:00,1
2019-10-02 07:48:00,1
2019-10-03 17:39:00,1
2019-10-04 14:24:00,1
2019-10-06 21:44:00,1
2019-10-08 19:54:00,1
2019-10-10 02:33:00,1
2019-10-10 08:02:00,1
2019-10-10 14:56:00,1
2019-10-11 05:09:00,1
2019-10-13 09:39:00,1
2019-10-13 21:26:00,1
2019-10-14 05:44:00,1
2019-10-14 07:16:00,1
2019-10-14 22:46:00,1
2019-10-17 05:53:00,1
2019-10-17 20:21:00,1
2019-10-18 06:51:00,1
2019-10-19 06:30:00,1
2019-10-21 02:41:00,1
2019-10-21 04:26:00,1
2019-10-21 21:06:00,1
2019-10-21 22:34:00,1
2019-10-22 03:13:00,1
2019-10-22 08:11:00,1
2019-10-23 21:44:00,1
2019-10-25 10:56:00,1
2019-10-25 18:51:00,1
2019-10-29 08:20:00,1
2019-10-29 16:25:00,1
2019-10-31 07:28:00,1
2019-11-01 10:11:00,1
2019-11-01 12:02:00,1
2019-11-02 08:10:00,1
2019-11-02 11:35:00,1
2019-11-02 21:29:00,1
2019-11-04 16:53:00,1
2019-11-04 23:33:00,1
2019-11-05 06:43:00,1
2019-11-08 05:40:00,1
2019-11-08 20:00:00,1
2019-11-09 10:55:00,1
2019-11-10 11:30:00,1
2019-11-11 23:12:00,1
2019-11-13 21:46:00,1
2019-11-13 22:52:00,1
2019-11-14 20:15:00,1
2019-11-15 00:29:00,1
2019-11-15 05:00:00,1
2019-11-15 06:03:00,1
2019-11-15 21:49:00,1
2019-11-16 07:40:00,1
2019-11-16 07:56:00,1
2019-11-17 07:44:00,1
2019-11-18 12:24:00,1
2019-11-18 20:05:00,1
2019-11-19 00:37:00,1
2019-11-20 09:50:00,1
2019-11-20 22:30:00,1
2019-11-22 16:40:00,1
2019-11-23 17:44:00,1
2019-11-24 21:35:00,1
2019-11-26 14:56:00,1
2019-11-27 00:36:00,1
2019-11-27 10:49:00,1
2019-11-28 22:48:00,1
2019-11-29 03:55:00,1
2019-11-29 18:58:00,1
2019-11-30 03:43:00,1
2019-12-01 11:56:00,1
2019-12-01 21:08:00,1
2019-12-04 07:00:00,1
2019-12-04 11:25:00,1
2019-12-05 02:10:00,1
2019-12-05 16:13:00,1
2019-12-05 21:20:00,1
2019-12-07 00:45:00,1
2019-12-07 13:53:00,1
2019-12-07 21:39:00,1
2019-12-09 07:30:00,1
2019-12-09 11:14:00,1
2019-12-09 22:28:00,1
2019-12-11 07:25:00,1
2019-12-11 11:21:00,1
2019-12-12 02:39:00,1
2019-12-12 15:15:00,1
2019-12-13 12:39:00,1
2019-12-13 14:06:00,1
2019-12-13 23:18:00,1
2019-12-14 10:28:00,1
2019-12-14 20:06:00,1
2019-12-15 04:51:00,1
2019-12-16 23:02:00,1
2019-12-20 09:12:00,1
2019-12-20 10:38:00,1
2019-12-20 17:26:00,1
2019-12-22 07:15:00,2
2019-12-22 15:30:00,1
2019-12-23 08:07:00,1
2019-12-23 22:38:00,1
2019-12-25 06:00:00,1
2019-12-26 03:17:00,1
2019-12-26 15:25:00,1
2019-12-27 00:17:00,1
2019-12-27 07:39:00,1
2019-12-29 00:04:00,1
2019-12-30 05:58:00,1
